,c6912,c6939,c6910,c6916,c6914,c6915,c6930,c6937,c6938,c6913,c7241,c7240,c7243,c7242,c7245,c7244,c6901,c6903,c6902,c6905,c6904,c6929,c6906,c6909,c6908,c6948,c6945,c6944,c6941,c6940,c6943,c6942
2017-07-03 11:45:00,132430233.6,210481152.0,210898944.0,211103744.0,129643315.2,129101824.0,210812928.0,209856921.6,209633280.0,132304076.8,131719987.2,132858675.2,132000153.6,131430809.6,132483481.6,131231744.0,3252915404.8,210233753.6,129960345.6,210464768.0,210264064.0,210182144.0,210386124.8,210567168.0,209760256.0,131778969.6,130845081.6,209850368.0,210460672.0,211185664.0,209988812.8,210509824.0
2017-07-03 11:50:00,132730880.0,210592563.2,211010355.2,211215155.2,129802240.0,129400832.0,210924339.2,209974067.2,209744691.2,132603904.0,131845324.8,132975001.6,132124672.0,131547136.0,132599808.0,131350528.0,3253034188.8,210346803.2,130117632.0,210481152.0,210379571.2,210293555.2,210500812.8,210583552.0,209776640.0,131936256.0,131084288.0,209961779.2,210576179.2,211202048.0,210100224.0,210621235.2
2017-07-03 11:55:00,133260902.4,210960384.0,211378176.0,211582976.0,130478080.0,129933312.0,211292160.0,210339430.4,210112512.0,133135564.8,131847782.4,132978278.4,132126310.4,131520921.6,132601446.4,131349708.8,3253041561.6,210714624.0,130793472.0,210944000.0,210747392.0,210661376.0,210870272.0,211046400.0,210239488.0,132612096.0,131759308.8,210329600.0,210944000.0,211664896.0,210468864.0,210988236.8
2017-07-03 12:00:00,134265241.6,211004620.8,211408486.4,211610828.8,131479961.6,130951577.6,211328204.8,210371379.2,210148556.8,134141542.4,133195366.4,134463488.0,133331353.6,133028249.6,133798297.6,132543283.2,3260845260.8,210745753.6,131810099.2,210980044.8,210783436.8,210697420.8,210898124.8,211078348.8,210267340.8,133622169.6,132774297.6,210368921.6,210980044.8,211700940.8,210499174.4,211020185.6
2017-07-03 12:05:00,134287360.0,211009536.0,211415040.0,211615744.0,131502080.0,130973696.0,211336396.8,210378752.0,210153472.0,134164480.0,133611520.0,134732185.6,133885952.0,133296128.0,134352896.0,133099520.0,3262568857.6,210751488.0,131833856.0,210984960.0,210788352.0,210702336.0,210901401.6,211083264.0,210272256.0,133644288.0,132796416.0,210374656.0,210984960.0,211705856.0,210504089.6,211025920.0
2017-07-03 12:10:00,134288998.4,211013632.0,211419136.0,211619840.0,131506176.0,130977792.0,211341312.0,210382848.0,210160844.8,134168576.0,133615616.0,134736281.6,133892505.6,133300224.0,134356992.0,133103616.0,3262578688.0,210759680.0,131837952.0,210989056.0,210792448.0,210706432.0,210906316.8,211087360.0,210276352.0,133648384.0,132800512.0,210382848.0,210989056.0,211714048.0,210509824.0,211034112.0
2017-07-03 12:15:00,134379929.6,211013632.0,211419136.0,211622297.6,131578265.6,131067904.0,211341312.0,210382848.0,210161664.0,134257868.8,133615616.0,134736281.6,133894144.0,133300224.0,134356992.0,133101977.6,3262582784.0,210759680.0,131928064.0,210989056.0,210796544.0,210714624.0,210907136.0,211091456.0,210276352.0,133742592.0,132892262.4,210382848.0,210992332.8,211714048.0,210509004.8,211032473.6
2017-07-03 12:20:00,134389760.0,211021824.0,211427328.0,211632128.0,131604480.0,131076096.0,211349504.0,210391040.0,210169856.0,134270976.0,133623808.0,134750208.0,133902336.0,133308416.0,134365184.0,133111808.0,3262595072.0,210767872.0,131936256.0,211005440.0,210804736.0,210722816.0,210915328.0,211099648.0,210284544.0,133750784.0,132902912.0,210391040.0,211001344.0,211722240.0,210517196.8,211040665.6
2017-07-03 12:25:00,135607091.2,211268403.2,211430604.8,211635404.8,133079040.0,132496588.8,211596083.2,210391040.0,210169856.0,135484211.2,135088537.6,136213299.2,135369523.2,134774784.0,135829913.6,134332416.0,3263496192.0,210767872.0,133411635.2,211007078.4,210804736.0,210722816.0,210914508.8,211099648.0,210525388.8,134966476.8,134124339.2,210391040.0,211238912.0,211722240.0,210517196.8,211039846.4
2017-07-03 12:30:00,138694656.0,212254720.0,212660224.0,212873216.0,135917568.0,135880704.0,212582400.0,211631308.8,211398656.0,138567680.0,137919692.8,139042816.0,138207232.0,137601024.0,138657792.0,137415065.6,3265286144.0,212004864.0,136257536.0,212234240.0,212037632.0,211947520.0,212146585.6,212328448.0,211521536.0,138044211.2,137211904.0,211615744.0,212234240.0,212955136.0,211751731.2,212275200.0
2017-07-03 12:35:00,138694656.0,212254720.0,212660224.0,212873216.0,135917568.0,135880704.0,212582400.0,211632128.0,211398656.0,138567680.0,137920512.0,139042816.0,138207232.0,137605120.0,138657792.0,137417523.2,3265287782.4,212004864.0,136257536.0,212234240.0,212040089.6,211947520.0,212147404.8,212328448.0,211521536.0,138047488.0,137211904.0,211614105.6,212234240.0,212955136.0,211754188.8,212275200.0
2017-07-03 12:40:00,138701209.6,212267008.0,212668416.0,212881408.0,135925760.0,135888896.0,212593868.8,211638681.6,211410944.0,138579968.0,137928704.0,139051008.0,138215424.0,137610854.4,138667622.4,137428992.0,3265305804.8,212012236.8,136265728.0,212242432.0,212049920.0,211957350.4,212155596.8,212336640.0,211529728.0,138055680.0,137224192.0,211623936.0,212242432.0,212966604.8,211761561.6,212286668.8
2017-07-03 12:45:00,138702848.0,212267008.0,212668416.0,212881408.0,135929036.8,135888896.0,212594688.0,211636224.0,211410944.0,138579968.0,137928704.0,139051008.0,138219520.0,137613312.0,138665984.0,137428172.8,3265305804.8,212012236.8,136269824.0,212242432.0,212049920.0,211959808.0,212155596.8,212336640.0,211529728.0,138055680.0,137224192.0,211625574.4,212242432.0,212967424.0,211763200.0,212287488.0
