,c6912,c6939,c6910,c6916,c6914,c6915,c6930,c6937,c6938,c6913,c7241,c7240,c7243,c7242,c7245,c7244,c6901,c6903,c6902,c6905,c6904,c6929,c6906,c6909,c6908,c6948,c6945,c6944,c6941,c6940,c6943,c6942
2017-07-03 11:45:00,5308275916.8,5302367846.4,5313169817.6,5299406438.4,5295143321.6,5301762457.6,5294357708.8,5309036134.4,5294030028.8,5306800537.6,5461707980.8,5459732070.4,5456035020.8,5461798912.0,5463981260.8,5465300172.8,5263013478.4,5306300825.6,5303602380.8,5306183680.0,5304179097.6,5290464051.2,5311528140.8,5310533632.0,5303066624.0,5296773529.6,5334201958.4,5295816704.0,5296194355.2,5300856422.4,5305464422.4,5293891584.0
2017-07-03 11:50:00,6165761228.8,6160569958.4,6171385036.8,6157971456.0,6152713011.2,6158805401.6,6152881766.4,6167257907.2,6152844083.2,6164493926.4,6319611084.8,6318055424.0,6320478617.6,6326367846.4,6328102092.8,6321935155.2,6128756326.4,6165103411.2,6161254809.6,6165482700.8,6162640896.0,6148970086.4,6169154355.2,6168398233.6,6161721753.6,6154296524.8,6163841024.0,6154294886.4,6153863987.2,6159219916.8,6163666534.4,6152229683.2
2017-07-03 11:55:00,6178896281.6,6172800614.4,6184039219.2,6170983628.8,6165352448.0,6171136819.2,6164779008.0,6180397875.2,6165481062.4,6177398784.0,6331863040.0,6329344000.0,6326639001.6,6332237414.4,6334246912.0,6335250432.0,6135094476.8,6178267955.2,6174474240.0,6178869248.0,6175299993.6,6162309939.2,6182313164.8,6180715724.8,6174488985.6,6166929408.0,6176749158.4,6167897702.4,6166781132.8,6171586560.0,6176545177.6,6164638924.8
2017-07-03 12:00:00,6179854745.6,6173700096.0,6184381644.8,6171516928.0,6165539225.6,6172790784.0,6165347532.8,6181651251.2,6166096281.6,6178480128.0,6332665036.8,6330529382.4,6327793254.4,6332393062.4,6334726144.0,6336604569.6,6135793254.4,6178462924.8,6175020646.4,6178962636.8,6175737446.4,6163028377.6,6183093043.2,6180649369.6,6175381913.6,6168067276.8,6178710323.2,6168557977.6,6167923097.6,6172303360.0,6178498150.4,6165324595.2
2017-07-03 12:05:00,6179645849.6,6173370777.6,6184370995.2,6171502182.4,6165675212.8,6172513894.4,6165090304.0,6181571788.8,6165594931.2,6178158182.4,6332461056.0,6330402406.4,6327567155.2,6332581478.4,6334712217.6,6336132710.4,6135512268.8,6177975500.8,6174914150.4,6178845491.2,6175353241.6,6163022643.2,6182807142.4,6180696883.2,6175128780.8,6167951769.6,6177690419.2,6168320409.6,6167780556.8,6172200960.0,6178173747.2,6165249228.8
2017-07-03 12:10:00,6179483648.0,6172900556.8,6183849984.0,6171717632.0,6165564620.8,6172857958.4,6165016576.0,6180977049.6,6165741568.0,6178358886.4,6332391424.0,6330612940.8,6327159193.6,6332456960.0,6334460723.2,6336180224.0,6135316480.0,6177951744.0,6174729830.4,6178570240.0,6174854348.8,6163235635.2,6182524518.4,6180378214.4,6174984601.6,6167747788.8,6178088550.4,6168179507.2,6167477452.8,6172476211.2,6178313830.4,6165024768.0
2017-07-03 12:15:00,6179737600.0,6173018521.6,6184041676.8,6171870822.4,6166189670.4,6172560588.8,6165973401.6,6180882022.4,6166162636.8,6178843033.6,6332738764.8,6330280345.6,6327561420.8,6332701900.8,6334479564.8,6336399769.6,6135606476.8,6178575155.2,6175131238.4,6178749644.8,6175386009.6,6163937689.6,6183076659.2,6180750131.2,6175136972.8,6168172953.6,6205981491.2,6168231116.8,6168391680.0,6172576972.8,6178786508.8,6165394227.2
2017-07-03 12:20:00,6179647488.0,6172806348.8,6183967129.6,6171602124.8,6166043033.6,6173057843.2,6166962176.0,6180900864.0,6166382182.4,6178557132.8,6333018112.0,6330372915.2,6327413145.6,6332897689.6,6334654873.6,6336553779.2,6135798988.8,6178606284.8,6175029657.6,6178743910.4,6175114035.2,6163851673.6,6182597427.2,6180289740.8,6174940364.8,6168176230.4,6177948467.2,6168442470.4,6168373657.6,6172674457.6,6178325299.2,6165531852.8
2017-07-03 12:25:00,6179444326.4,6173272473.6,6184196505.6,6171545600.0,6165929984.0,6172999680.0,6166858137.6,6181170380.8,6166414950.4,6178453094.4,6332855910.4,6330366361.6,6327454105.6,6333043507.2,6334756454.4,6336457113.6,6135647436.8,6178464563.2,6175318016.0,6178490777.6,6175137792.0,6163586252.8,6182337740.8,6180809113.6,6175104204.8,6167777280.0,6177783808.0,6168359731.2,6169006080.0,6172667904.0,6178334310.4,6165513011.2
2017-07-03 12:30:00,6179608166.4,6172903014.4,6184489779.2,6171594752.0,6165967667.2,6173456793.6,6166911385.6,6181014732.8,6166621388.8,6179019161.6,6332924723.2,6330071449.6,6327475404.8,6333325312.0,6334914560.0,6337057587.2,6135805542.4,6178657075.2,6174795366.4,6178335129.6,6175040307.2,6163669811.2,6182708838.4,6180897587.2,6175399116.8,6168014848.0,6206287052.8,6168347443.2,6168417075.2,6172984115.2,6178812723.2,6165257420.8
2017-07-03 12:35:00,6179541811.2,6172024832.0,6184115404.8,6171154841.6,6165916876.8,6172830924.8,6166357606.4,6181253939.2,6166437068.8,6178704588.8,6332740403.2,6329693798.4,6327132979.2,6333367091.2,6334791680.0,6336574259.2,6135518003.2,6178325299.2,6174846156.8,6178043494.4,6174776524.8,6162740019.2,6182563840.0,6180705075.2,6175381094.4,6167749427.2,6177929625.6,6168129536.0,6168112332.8,6172590080.0,6178242560.0,6164999372.8
2017-07-03 12:40:00,6179755622.4,6172399206.4,6184017920.0,6171308032.0,6166437068.8,6172973465.6,6166717235.2,6181271142.4,6166409216.0,6178538291.2,6333504716.8,6330398310.4,6327448371.2,6333412966.4,6334936678.4,6336851148.8,6135327948.8,6178056601.6,6174584012.8,6178823372.8,6174871552.0,6162842419.2,6182332006.4,6180548608.0,6175708774.4,6167620812.8,6178153267.2,6168344166.4,6168479334.4,6172510617.6,6178295808.0,6164865024.0
2017-07-03 12:45:00,6179677798.4,6172531097.6,6184161280.0,6171469414.4,6166202777.6,6173139763.2,6166421504.0,6181558681.6,6165956198.4,6178668544.0,6333194240.0,6330185318.4,6327223091.2,6333203251.2,6334577049.6,6336577536.0,6135037952.0,6177796096.0,6174652825.6,6178960179.2,6174627430.4,6163393740.8,6182497484.8,6181138432.0,6175903744.0,6167661772.8,6178335129.6,6168351539.2,6168305664.0,6172515532.8,6178032844.8,6164689715.2
2017-07-03 12:50:00,6180109516.8,6172533555.2,6184223539.2,6171561984.0,6165954560.0,6173113548.8,6166665625.6,6181506252.8,6165979136.0,6178633318.4,6333323673.6,6330850508.8,6327368089.6,6333155737.6,6334651596.8,6336894566.4,6135197696.0,6177986969.6,6174934630.4,6178996224.0,6174738022.4,6163297894.4,6182398361.6,6180584652.8,6175846400.0,6168068915.2,6178350694.4,6167727308.8,6168217190.4,6172754739.2,6178168832.0,6164611891.2
