,c6912,c6939,c6910,c6916,c6914,c6915,c6930,c6937,c6938,c6913,c7241,c7240,c7243,c7242,c7245,c7244,c6901,c6903,c6902,c6905,c6904,c6929,c6906,c6909,c6908,c6948,c6945,c6944,c6941,c6940,c6943,c6942
2017-07-03 11:45:00,243.0,252.0,256.5,244.8,262.8,259.2,255.6,234.0,259.2,255.6,270.0,279.0,274.5,270.0,274.5,274.5,256.5,261.0,238.5,247.5,256.5,241.2,247.5,234.0,247.5,241.2,248.4,234.0,234.0,252.0,234.0,230.4
2017-07-03 11:50:00,229.5,252.0,252.0,247.5,252.0,247.5,243.0,234.0,234.0,247.5,279.0,270.0,256.5,265.5,270.0,270.0,234.0,238.5,247.5,216.0,238.5,238.5,243.0,256.5,238.5,220.5,229.5,252.0,234.0,243.0,243.0,234.0
2017-07-03 11:55:00,261.0,256.5,261.0,238.5,261.0,252.0,261.0,261.0,256.5,256.5,279.0,238.5,274.5,261.0,261.0,261.0,261.0,252.0,261.0,247.5,243.0,256.5,216.0,256.5,234.0,243.0,220.5,247.5,256.5,247.5,243.0,229.5
2017-07-03 12:00:00,229.5,247.5,243.0,247.5,256.5,238.5,247.5,243.0,243.0,234.0,252.0,262.8,241.2,277.2,273.6,280.8,252.0,238.5,238.5,256.5,216.0,261.0,243.0,234.0,234.0,229.5,234.0,243.0,234.0,256.5,252.0,243.0
2017-07-03 12:05:00,238.5,252.0,256.5,243.0,243.0,256.5,243.0,247.5,252.0,238.5,279.0,265.5,261.0,279.0,261.0,261.0,261.0,234.0,252.0,238.5,238.5,252.0,238.5,243.0,225.0,238.5,225.0,234.0,247.5,252.0,252.0,234.0
2017-07-03 12:10:00,243.0,261.0,243.0,238.5,256.5,261.0,243.0,252.0,252.0,256.5,292.5,270.0,247.5,279.0,274.5,265.5,265.5,238.5,229.5,265.5,225.0,252.0,238.5,247.5,243.0,243.0,238.5,243.0,256.5,256.5,247.5,216.0
2017-07-03 12:15:00,243.0,247.5,243.0,247.5,252.0,243.0,243.0,252.0,252.0,252.0,261.0,252.0,256.5,261.0,261.0,261.0,247.5,252.0,252.0,247.5,243.0,252.0,225.0,247.5,220.5,220.5,225.0,252.0,252.0,256.5,252.0,225.0
2017-07-03 12:20:00,259.2,256.5,255.6,243.0,266.4,259.2,256.5,243.0,265.5,248.4,283.5,279.0,261.0,265.5,288.0,288.0,255.6,259.2,255.6,266.4,259.2,252.0,244.8,259.2,241.2,211.5,247.5,265.5,252.0,265.5,238.5,247.5
2017-07-03 12:25:00,252.0,252.0,252.0,234.0,247.5,243.0,237.6,237.6,237.6,252.0,252.0,274.5,261.0,270.0,256.5,261.0,252.0,247.5,252.0,238.5,247.5,241.2,238.5,252.0,229.5,225.0,234.0,234.0,237.6,244.8,243.0,230.4
2017-07-03 12:30:00,252.0,256.5,274.5,252.0,252.0,274.5,256.5,270.0,243.0,238.5,274.5,292.5,279.0,265.5,283.5,261.0,261.0,238.5,243.0,247.5,238.5,265.5,238.5,274.5,225.0,237.6,234.0,266.4,247.5,247.5,259.2,234.0
2017-07-03 12:35:00,234.0,243.0,252.0,220.5,238.5,252.0,252.0,252.0,225.0,247.5,270.0,252.0,256.5,265.5,270.0,270.0,252.0,243.0,234.0,234.0,229.5,220.5,238.5,229.5,225.0,229.5,238.5,238.5,238.5,234.0,252.0,243.0
2017-07-03 12:40:00,256.5,243.0,270.0,252.0,243.0,252.0,270.0,265.5,270.0,247.5,270.0,277.2,270.0,262.8,279.0,261.0,256.5,252.0,256.5,243.0,247.5,243.0,252.0,234.0,234.0,247.5,243.0,247.5,261.0,256.5,256.5,243.0
2017-07-03 12:45:00,238.5,247.5,252.0,238.5,252.0,252.0,256.5,243.0,252.0,238.5,270.0,258.0,258.0,264.0,265.5,261.0,247.5,238.5,229.5,243.0,234.0,247.5,243.0,247.5,234.0,216.0,238.5,252.0,247.5,261.0,247.5,238.5
2017-07-03 12:50:00,252.0,256.5,265.5,238.5,270.0,252.0,243.0,274.5,252.0,234.0,274.5,274.5,256.5,279.0,274.5,270.0,247.5,234.0,265.5,243.0,252.0,256.5,243.0,252.0,243.0,234.0,243.0,261.0,238.5,252.0,256.5,247.5
2017-07-03 12:55:00,261.0,246.0,247.5,256.5,261.0,252.0,252.0,246.0,246.0,256.5,256.5,265.5,256.5,274.5,247.5,270.0,247.5,256.5,252.0,252.0,243.0,234.0,243.0,256.5,229.5,252.0,246.0,258.0,234.0,240.0,264.0,234.0
2017-07-03 13:00:00,238.5,256.5,256.5,229.5,252.0,247.5,243.0,243.0,243.0,252.0,265.5,265.5,256.5,279.0,261.0,270.0,243.0,234.0,243.0,238.5,243.0,256.5,238.5,238.5,243.0,238.5,234.0,252.0,252.0,252.0,252.0,225.0
2017-07-03 13:05:00,229.5,241.2,252.0,247.5,247.5,256.5,262.8,259.2,255.6,229.5,261.0,283.5,234.0,261.0,270.0,256.5,252.0,243.0,261.0,225.0,243.0,244.8,216.0,243.0,234.0,223.2,216.0,226.8,259.2,244.8,244.8,244.8
2017-07-03 13:10:00,256.5,256.5,252.0,247.5,243.0,256.5,238.5,252.0,252.0,252.0,261.0,261.0,265.5,256.5,261.0,252.0,256.5,243.0,252.0,252.0,247.5,252.0,234.0,261.0,243.0,238.5,216.0,256.5,247.5,247.5,252.0,234.0
2017-07-03 13:15:00,261.0,247.5,247.5,247.5,243.0,256.5,252.0,252.0,256.5,256.5,252.0,284.4,244.8,270.0,280.8,270.0,234.0,238.5,238.5,256.5,234.0,229.5,270.0,243.0,243.0,238.5,229.5,256.5,238.5,261.0,243.0,234.0
2017-07-03 13:20:00,247.5,247.5,243.0,238.5,252.0,252.0,247.5,252.0,252.0,243.0,270.0,261.0,265.5,270.0,270.0,265.5,252.0,238.5,238.5,252.0,238.5,243.0,234.0,225.0,234.0,229.5,234.0,238.5,229.5,247.5,252.0,229.5
2017-07-03 13:25:00,279.0,261.0,279.0,225.0,270.0,243.0,252.0,261.0,270.0,270.0,270.0,288.0,288.0,252.0,252.0,288.0,252.0,252.0,270.0,252.0,225.0,270.0,261.0,261.0,234.0,252.0,243.0,252.0,252.0,243.0,252.0,216.0
2017-07-03 13:30:00,247.5,243.0,252.0,243.0,252.0,243.0,247.5,243.0,252.0,247.5,270.0,252.0,261.0,270.0,270.0,256.5,244.8,252.0,252.0,241.2,244.8,238.5,241.2,248.4,237.6,234.0,220.5,252.0,243.0,247.5,252.0,238.5
2017-07-03 13:35:00,252.0,262.8,261.0,259.2,259.2,255.6,255.6,255.6,262.8,255.6,288.0,279.0,252.0,247.5,270.0,270.0,256.5,243.0,256.5,247.5,247.5,248.4,243.0,265.5,256.5,248.4,234.0,259.2,255.6,248.4,248.4,244.8
2017-07-03 13:40:00,258.0,258.0,252.0,228.0,258.0,246.0,252.0,258.0,246.0,228.0,261.0,261.0,234.0,256.5,265.5,270.0,240.0,258.0,240.0,240.0,246.0,234.0,240.0,234.0,228.0,222.0,246.0,246.0,252.0,252.0,252.0,234.0
2017-07-03 13:45:00,247.5,265.5,252.0,247.5,247.5,261.0,261.0,256.5,252.0,261.0,274.5,288.0,270.0,265.5,265.5,265.5,252.0,252.0,261.0,252.0,238.5,256.5,225.0,256.5,234.0,238.5,229.5,252.0,252.0,252.0,243.0,234.0
2017-07-03 13:50:00,256.5,238.5,243.0,207.0,252.0,261.0,238.5,238.5,247.5,243.0,270.0,261.0,261.0,274.5,270.0,265.5,241.2,237.6,241.2,237.6,230.4,252.0,243.0,261.0,243.0,243.0,229.5,243.0,261.0,252.0,252.0,234.0
2017-07-03 13:55:00,226.8,252.0,262.8,241.2,259.2,244.8,252.0,243.0,238.5,248.4,279.0,270.0,274.5,265.5,265.5,279.0,252.0,252.0,252.0,256.5,247.5,252.0,237.6,241.2,241.2,229.5,238.5,252.0,238.5,265.5,252.0,229.5
2017-07-03 14:00:00,229.5,252.0,265.5,225.0,243.0,252.0,234.0,262.8,241.2,238.5,283.5,279.0,270.0,261.0,261.0,279.0,243.0,247.5,229.5,243.0,243.0,261.0,220.5,243.0,238.5,244.8,237.6,255.6,248.4,244.8,244.8,234.0
2017-07-03 14:05:00,252.0,265.5,256.5,234.0,256.5,243.0,247.5,256.5,256.5,261.0,270.0,279.0,270.0,261.0,265.5,243.0,243.0,238.5,238.5,252.0,243.0,252.0,238.5,238.5,243.0,247.5,243.0,238.5,270.0,256.5,252.0,234.0
2017-07-03 14:10:00,247.5,265.5,261.0,243.0,270.0,234.0,261.0,265.5,270.0,247.5,270.0,280.8,280.8,270.0,273.6,262.8,243.0,247.5,252.0,229.5,234.0,238.5,247.5,252.0,207.0,243.0,243.0,252.0,243.0,243.0,247.5,234.0
2017-07-03 14:15:00,252.0,238.5,256.5,252.0,238.5,252.0,234.0,252.0,256.5,252.0,265.5,279.0,265.5,261.0,274.5,265.5,243.0,225.0,247.5,238.5,247.5,234.0,252.0,229.5,225.0,238.5,225.0,252.0,247.5,243.0,252.0,229.5
2017-07-03 14:20:00,256.5,256.5,265.5,238.5,256.5,261.0,256.5,265.5,265.5,252.0,274.5,283.5,252.0,274.5,279.0,283.5,265.5,234.0,238.5,247.5,252.0,247.5,243.0,261.0,238.5,243.0,243.0,274.5,252.0,256.5,247.5,243.0
2017-07-03 14:25:00,243.0,234.0,243.0,234.0,247.5,234.0,238.5,247.5,234.0,238.5,270.0,265.5,261.0,270.0,270.0,247.5,238.5,238.5,247.5,247.5,234.0,243.0,238.5,252.0,234.0,229.5,234.0,252.0,252.0,252.0,247.5,216.0
2017-07-03 14:30:00,252.0,256.5,270.0,243.0,256.5,261.0,265.5,265.5,247.5,252.0,279.0,288.0,261.0,283.5,288.0,279.0,256.5,261.0,270.0,261.0,261.0,243.0,247.5,256.5,252.0,229.5,234.0,261.0,243.0,261.0,256.5,238.5
2017-07-03 14:35:00,255.6,247.5,255.6,241.2,244.8,248.4,243.0,247.5,234.0,237.6,270.0,265.5,261.0,252.0,270.0,270.0,252.0,244.8,241.2,241.2,248.4,243.0,244.8,259.2,241.2,229.5,234.0,225.0,261.0,243.0,238.5,225.0
2017-07-03 14:40:00,258.0,265.5,265.5,240.0,270.0,282.0,261.0,252.0,270.0,240.0,265.5,274.5,256.5,265.5,279.0,274.5,256.5,247.5,247.5,243.0,261.0,256.5,216.0,270.0,238.5,234.0,229.5,243.0,256.5,261.0,261.0,256.5
2017-07-03 14:45:00,237.6,261.0,247.5,234.0,248.4,259.2,234.0,256.5,247.5,241.2,256.5,265.5,256.5,261.0,265.5,261.0,252.0,238.5,238.5,234.0,238.5,247.5,225.0,247.5,234.0,243.0,225.0,252.0,243.0,247.5,247.5,234.0
2017-07-03 14:50:00,261.0,252.0,261.0,243.0,243.0,261.0,255.6,259.2,244.8,247.5,265.5,274.5,279.0,256.5,265.5,274.5,270.0,261.0,252.0,270.0,261.0,259.2,234.0,261.0,234.0,234.0,230.4,241.2,255.6,248.4,244.8,241.2
2017-07-03 14:55:00,243.0,247.5,265.5,247.5,247.5,247.5,238.5,247.5,261.0,243.0,274.5,274.5,261.0,279.0,270.0,265.5,243.0,252.0,238.5,252.0,229.5,261.0,243.0,243.0,234.0,229.5,234.0,256.5,252.0,252.0,252.0,238.5
2017-07-03 15:00:00,238.5,261.0,256.5,247.5,261.0,252.0,243.0,256.5,238.5,238.5,270.0,274.5,256.5,261.0,274.5,261.0,247.5,238.5,243.0,256.5,247.5,265.5,247.5,247.5,252.0,234.0,247.5,252.0,261.0,256.5,252.0,243.0
2017-07-03 15:05:00,252.0,234.0,238.5,238.5,247.5,256.5,247.5,243.0,247.5,247.5,270.0,265.5,283.5,261.0,265.5,274.5,247.5,252.0,243.0,243.0,229.5,238.5,243.0,238.5,220.5,225.0,220.5,238.5,238.5,252.0,247.5,229.5
2017-07-03 15:10:00,243.0,247.5,252.0,234.0,243.0,256.5,247.5,247.5,243.0,256.5,270.0,274.5,256.5,270.0,270.0,270.0,252.0,252.0,234.0,243.0,247.5,256.5,247.5,252.0,252.0,238.5,238.5,252.0,256.5,252.0,261.0,225.0
2017-07-03 15:15:00,252.0,247.5,261.0,252.0,243.0,261.0,261.0,247.5,243.0,238.5,270.0,255.6,288.0,270.0,277.2,262.8,252.0,252.0,238.5,252.0,247.5,256.5,243.0,247.5,247.5,216.0,252.0,252.0,261.0,252.0,252.0,247.5
2017-07-03 15:20:00,229.5,220.5,220.5,220.5,216.0,225.0,220.5,225.0,211.5,220.5,252.0,238.5,238.5,252.0,243.0,238.5,216.0,220.5,211.5,216.0,211.5,225.0,207.0,225.0,216.0,207.0,220.5,216.0,216.0,211.5,225.0,216.0
2017-07-03 15:25:00,261.0,243.0,261.0,238.5,238.5,243.0,261.0,261.0,256.5,229.5,274.5,256.5,261.0,256.5,279.0,279.0,252.0,234.0,243.0,261.0,265.5,252.0,243.0,261.0,238.5,238.5,220.5,256.5,256.5,243.0,243.0,247.5
2017-07-03 15:30:00,238.5,270.0,256.5,247.5,247.5,261.0,238.5,252.0,252.0,234.0,270.0,270.0,274.5,261.0,270.0,270.0,252.0,256.5,252.0,252.0,243.0,261.0,229.5,261.0,225.0,234.0,229.5,265.5,229.5,256.5,243.0,238.5
2017-07-03 15:35:00,252.0,252.0,243.0,252.0,256.5,252.0,252.0,252.0,256.5,238.5,288.0,274.5,256.5,270.0,274.5,279.0,256.5,252.0,252.0,252.0,247.5,252.0,243.0,247.5,238.5,225.0,247.5,252.0,252.0,256.5,252.0,238.5
2017-07-03 15:40:00,259.2,265.5,252.0,248.4,244.8,248.4,256.5,252.0,256.5,234.0,279.0,279.0,256.5,261.0,274.5,265.5,241.2,244.8,252.0,241.2,252.0,274.5,230.4,244.8,234.0,238.5,238.5,256.5,256.5,252.0,243.0,247.5
2017-07-03 15:45:00,256.5,255.6,243.0,261.0,252.0,247.5,255.6,248.4,234.0,247.5,261.0,265.5,256.5,279.0,270.0,261.0,252.0,252.0,247.5,252.0,252.0,252.0,247.5,252.0,238.5,234.0,241.2,248.4,248.4,248.4,252.0,241.2
2017-07-03 15:50:00,256.5,256.5,256.5,247.5,238.5,238.5,247.5,265.5,265.5,247.5,283.5,279.0,265.5,261.0,279.0,265.5,243.0,252.0,252.0,256.5,256.5,256.5,243.0,243.0,247.5,225.0,225.0,261.0,261.0,247.5,243.0,243.0
2017-07-03 15:55:00,238.5,256.5,252.0,225.0,243.0,243.0,256.5,252.0,234.0,247.5,247.5,270.0,256.5,265.5,261.0,261.0,261.0,243.0,243.0,252.0,247.5,247.5,243.0,252.0,220.5,229.5,243.0,243.0,256.5,247.5,252.0,243.0
2017-07-03 16:00:00,238.5,252.0,270.0,247.5,256.5,247.5,229.5,252.0,270.0,247.5,288.0,274.5,261.0,274.5,288.0,279.0,265.5,247.5,265.5,247.5,252.0,247.5,229.5,270.0,243.0,256.5,234.0,256.5,279.0,261.0,261.0,238.5
2017-07-03 16:05:00,238.5,238.5,243.0,225.0,243.0,247.5,238.5,243.0,225.0,247.5,262.8,270.0,259.2,262.8,259.2,273.6,252.0,252.0,229.5,243.0,238.5,252.0,229.5,247.5,238.5,234.0,234.0,252.0,229.5,238.5,252.0,225.0
2017-07-03 16:10:00,256.5,265.5,256.5,225.0,261.0,252.0,256.5,265.5,270.0,247.5,261.0,283.5,270.0,279.0,292.5,283.5,270.0,238.5,247.5,229.5,265.5,256.5,243.0,256.5,247.5,247.5,243.0,270.0,252.0,256.5,252.0,234.0
2017-07-03 16:15:00,256.5,247.5,252.0,229.5,238.5,234.0,243.0,243.0,252.0,243.0,279.0,274.5,243.0,274.5,274.5,270.0,243.0,225.0,238.5,252.0,252.0,234.0,220.5,256.5,225.0,216.0,216.0,238.5,243.0,252.0,234.0,243.0
2017-07-03 16:20:00,261.0,270.0,234.0,247.5,256.5,261.0,256.5,265.5,256.5,252.0,279.0,265.5,265.5,283.5,274.5,265.5,247.5,243.0,252.0,252.0,256.5,256.5,256.5,252.0,256.5,238.5,243.0,256.5,270.0,252.0,252.0,225.0
2017-07-03 16:25:00,238.5,252.0,252.0,243.0,243.0,243.0,252.0,252.0,252.0,225.0,274.5,256.5,252.0,256.5,279.0,261.0,252.0,238.5,238.5,238.5,238.5,256.5,238.5,247.5,220.5,234.0,238.5,247.5,256.5,252.0,220.5,229.5
