,c7223,c7318,c7210,c7219
2017-06-26 19:50:00,68.5,62.75,65.0,70.75
2017-06-26 19:55:00,68.0,63.0,65.0,70.75
2017-06-26 20:00:00,67.5,62.5,63.5,70.0
2017-06-26 20:05:00,68.0,62.0,63.5,70.25
2017-06-26 20:10:00,68.0,62.4,64.6,70.8
2017-06-26 20:15:00,68.0,63.0,64.25,71.0
2017-06-26 20:20:00,68.0,62.5,64.5,71.0
2017-06-26 20:25:00,67.5,62.0,63.5,70.5
2017-06-26 20:30:00,68.0,62.25,63.5,70.0
2017-06-26 20:35:00,68.0,62.75,64.75,70.75
2017-06-26 20:40:00,68.0,63.0,64.0,71.0
2017-06-26 20:45:00,68.0,63.0,64.5,70.75
2017-06-26 20:50:00,68.25,62.5,64.25,70.5
2017-06-26 20:55:00,68.0,62.0,64.0,70.5
2017-06-26 21:00:00,68.0,62.0,64.0,70.75
2017-06-26 21:05:00,68.0,62.5,64.25,71.0
2017-06-26 21:10:00,68.25,62.0,64.25,70.5
2017-06-26 21:15:00,68.25,63.0,64.75,71.0
2017-06-26 21:20:00,67.75,62.0,64.0,70.5
2017-06-26 21:25:00,67.25,62.5,63.0,70.0
2017-06-26 21:30:00,68.0,62.5,63.75,70.0
2017-06-26 21:35:00,67.75,62.25,64.0,70.0
2017-06-26 21:40:00,68.0,62.5,64.0,70.0
2017-06-26 21:45:00,68.0,62.0,63.25,70.0
2017-06-26 21:50:00,66.75,59.0,62.0,68.0
2017-06-26 21:55:00,66.25,57.0,60.25,66.75
2017-06-26 22:00:00,66.25,57.0,60.25,66.75
2017-06-26 22:05:00,66.75,57.5,61.0,67.5
2017-06-26 22:10:00,66.25,57.25,60.5,67.25
2017-06-26 22:15:00,65.75,57.0,60.0,66.5
2017-06-26 22:20:00,66.0,57.5,60.75,67.75
2017-06-26 22:25:00,65.75,57.0,60.5,67.0
2017-06-26 22:30:00,65.0,56.0,59.5,66.0
2017-06-26 22:35:00,65.0,55.5,59.5,66.0
2017-06-26 22:40:00,65.25,55.5,59.0,66.0
2017-06-26 22:45:00,65.0,55.0,59.0,66.0
2017-06-26 22:50:00,66.0,56.0,59.0,66.0
2017-06-26 22:55:00,65.5,55.75,59.0,66.0
2017-06-26 23:00:00,65.25,55.75,59.0,66.0
2017-06-26 23:05:00,65.0,56.0,59.0,66.0
2017-06-26 23:10:00,65.0,56.0,59.0,66.0
2017-06-26 23:15:00,64.5,56.0,58.75,66.0
2017-06-26 23:20:00,65.0,56.0,59.0,66.0
2017-06-26 23:25:00,65.25,56.0,59.5,66.0
2017-06-26 23:30:00,65.0,56.0,58.75,66.0
2017-06-26 23:35:00,65.25,56.25,59.0,66.0
2017-06-26 23:40:00,65.0,56.0,58.75,66.0
2017-06-26 23:45:00,64.75,56.0,58.25,65.5
2017-06-26 23:50:00,64.0,56.0,58.5,65.5
2017-06-26 23:55:00,64.0,56.0,58.0,66.0
2017-06-27 00:00:00,64.0,56.0,58.5,65.5
2017-06-27 00:05:00,65.0,56.0,58.25,65.75
2017-06-27 00:10:00,64.75,56.0,59.0,66.0
2017-06-27 00:15:00,64.5,56.25,58.5,66.0
2017-06-27 00:20:00,64.75,56.25,58.5,66.0
2017-06-27 00:25:00,65.0,56.0,59.2,66.0
2017-06-27 00:30:00,65.0,56.0,59.0,66.0
2017-06-27 00:35:00,65.33333333333333,56.0,59.0,66.0
2017-06-27 00:40:00,65.0,56.0,58.5,66.25
2017-06-27 00:45:00,65.0,56.5,58.25,66.0
2017-06-27 00:50:00,65.25,56.0,59.0,66.25
2017-06-27 00:55:00,65.0,56.0,58.666666666666664,65.66666666666667
2017-06-27 01:00:00,65.66666666666667,56.0,58.0,65.66666666666667
2017-06-27 01:05:00,65.0,56.0,58.25,65.25
2017-06-27 01:10:00,65.75,56.0,59.0,65.5
2017-06-27 01:15:00,65.25,56.0,58.75,65.5
2017-06-27 01:20:00,65.5,56.25,58.5,65.0
2017-06-27 01:25:00,65.0,56.25,58.6,65.75
2017-06-27 01:30:00,65.25,56.0,58.0,65.5
2017-06-27 01:35:00,65.5,56.0,58.0,66.0
2017-06-27 01:40:00,65.0,56.5,58.666666666666664,65.66666666666667
2017-06-27 01:45:00,65.25,57.0,58.0,66.5
2017-06-27 01:50:00,65.25,57.0,58.0,66.25
2017-06-27 01:55:00,64.75,57.0,58.0,65.75
2017-06-27 02:00:00,65.0,56.25,58.25,65.75
2017-06-27 02:05:00,65.0,56.333333333333336,58.333333333333336,66.0
2017-06-27 02:10:00,64.75,56.25,58.0,66.0
2017-06-27 02:15:00,65.25,56.5,58.5,66.0
2017-06-27 02:20:00,65.0,57.0,58.0,66.0
2017-06-27 02:25:00,65.0,56.75,58.5,66.0
2017-06-27 02:30:00,65.0,57.0,58.75,66.0
2017-06-27 02:35:00,65.0,57.0,59.0,66.25
2017-06-27 02:40:00,64.5,57.0,58.25,66.0
2017-06-27 02:45:00,65.0,57.0,58.75,66.0
2017-06-27 02:50:00,65.0,57.0,58.25,66.25
2017-06-27 02:55:00,65.0,56.5,58.0,66.25
2017-06-27 03:00:00,65.0,57.0,58.0,66.5
2017-06-27 03:05:00,64.75,57.0,58.25,66.75
2017-06-27 03:10:00,64.5,56.75,58.75,66.75
2017-06-27 03:15:00,64.66666666666667,56.0,58.666666666666664,66.66666666666667
2017-06-27 03:20:00,64.75,56.75,58.0,66.75
2017-06-27 03:25:00,65.5,57.0,59.25,67.25
2017-06-27 03:30:00,65.75,57.0,59.5,67.75
2017-06-27 03:35:00,64.75,56.0,58.5,66.5
2017-06-27 03:40:00,64.75,56.0,58.0,66.25
