,c7223,c7318,c7210,c7219
2017-06-26 19:50:00,0.011195436492562294,0.012283195089548827,0.011989122780505568,0.01430913507938385
2017-06-26 19:55:00,0.006241778749972582,0.006885767541825771,0.004873909149318933,0.004040166107006371
2017-06-26 20:00:00,0.008345917332917452,0.007378933951258659,0.008163551404140889,0.007221518666483462
2017-06-26 20:05:00,0.012123061390593649,0.010564959840849042,0.011384446127340197,0.013374703377485276
2017-06-26 20:10:00,0.0015719974413514136,0.0018333333544433116,0.0012500463053584099,0.001453034207224846
2017-06-26 20:15:00,0.007234449777752161,0.00831804545596242,0.0068533052923157815,0.007143437303602696
2017-06-26 20:20:00,0.0036209199926815925,0.004383230675011873,0.00396675169467926,0.004645819123834371
2017-06-26 20:25:00,0.007326691085472703,0.00463024266064167,0.002359579806216061,0.0031544070690870283
2017-06-26 20:30:00,0.005812233174219727,0.004102842626161873,0.005494872387498617,0.005148197757080197
2017-06-26 20:35:00,0.004212658852338791,0.003523386130109429,0.0035902991890907287,0.00312678306363523
2017-06-26 20:40:00,0.0077085564378649,0.010304899793118239,0.006886078789830208,0.00784524790942669
2017-06-26 20:45:00,0.0025718890130519865,0.001084840833209455,0.00061526462668553,0.0012446031672880054
2017-06-26 20:50:00,0.011976852267980575,0.013062994554638862,0.012045663362368942,0.012324754148721695
2017-06-26 20:55:00,0.0009738631430082023,0.001980769948568195,0.0008531911415047943,0.0008981746039353311
2017-06-26 21:00:00,0.00019611110910773278,0.0002579133724793792,0.00040600606007501483,0.000694467592984438
2017-06-26 21:05:00,0.0016087445197626947,0.0007837321027182043,0.0015234438702464103,0.0009993152460083365
2017-06-26 21:10:00,0.012415527924895286,0.0358248770236969,0.01457483684644103,0.012683687917888164
2017-06-26 21:15:00,0.019586641900241376,0.017924561537802218,0.018857230246067048,0.019154019141569733
2017-06-26 21:20:00,0.00754467137157917,0.005280880350619554,0.008131090714596213,0.007184530049562455
2017-06-26 21:25:00,0.020366931892931463,0.017932834383100272,0.013357436284422874,0.012980007007718087
2017-06-26 21:30:00,0.008039961964823306,0.006131148408167064,0.0073103854898363355,0.007805906154680997
2017-06-26 21:35:00,0.01569770947098732,0.012890835478901862,0.0061317428364418445,0.008688277564942837
