,c7223,c7318,c7210,c7219
2017-06-26 19:50:00,134555238.4,126883430.4,194778726.4,149830860.8
2017-06-26 19:55:00,137700966.4,130048819.2,231758233.6,154132480.0
2017-06-26 20:00:00,141233356.8,133080678.4,268315852.8,158538137.6
2017-06-26 20:05:00,144723968.0,136255078.4,304794009.6,163193651.2
2017-06-26 20:10:00,147616563.2,138887987.2,338803916.8,167351910.4
2017-06-26 20:15:00,150350233.6,141743718.4,374004121.6,170904780.8
2017-06-26 20:20:00,153314918.4,144674816.0,409783500.8,174468300.8
2017-06-26 20:25:00,155960115.2,147477299.2,446563942.4,178488934.4
2017-06-26 20:30:00,159122227.2,150249472.0,481197260.8,182353920.0
2017-06-26 20:35:00,162026291.2,152922521.6,516381900.8,185765068.8
2017-06-26 20:40:00,164769792.0,155562803.2,551640268.8,189109862.4
2017-06-26 20:45:00,167856537.6,158195712.0,586730700.8,192425164.8
2017-06-26 20:50:00,170465689.6,160726220.8,620682444.8,195168665.6
2017-06-26 20:55:00,173085491.2,163241164.8,656285696.0,197781913.6
2017-06-26 21:00:00,175724134.4,166535168.0,689916313.6,200332083.2
2017-06-26 21:05:00,178438144.0,176481894.4,723919667.2,202997760.0
2017-06-26 21:10:00,180841676.8,178828902.4,759468851.2,205611008.0
2017-06-26 21:15:00,183662182.4,181236531.2,793080627.2,208406118.4
2017-06-26 21:20:00,186118144.0,183587635.2,826256588.8,210733465.6
2017-06-26 21:25:00,188633907.2,185856819.2,861840179.2,212997734.4
2017-06-26 21:30:00,191425740.8,188334080.0,895818956.8,215720755.2
2017-06-26 21:35:00,193942323.2,190676172.8,929998438.4,218066944.0
2017-06-26 21:40:00,196621926.4,193208320.0,966328320.0,220460646.4
2017-06-26 21:45:00,199245004.8,195650355.2,1000760934.4,222813388.8
2017-06-26 21:50:00,202117939.2,198492160.0,1028496588.8,225496268.8
2017-06-26 21:55:00,203605606.4,199974912.0,1031841382.4,226883174.4
2017-06-26 22:00:00,203712102.4,200070758.4,1031946240.0,226981478.4
2017-06-26 22:05:00,203722752.0,200081408.0,1031958528.0,226992128.0
2017-06-26 22:10:00,203730944.0,200086323.2,1031962624.0,227000320.0
2017-06-26 22:15:00,203730944.0,200089600.0,1031962624.0,227001958.4
2017-06-26 22:20:00,203739136.0,200097792.0,1031970816.0,227012608.0
2017-06-26 22:25:00,203739136.0,200099430.4,1031970816.0,227012608.0
2017-06-26 22:30:00,203747328.0,200110080.0,1031974912.0,227020800.0
2017-06-26 22:35:00,203745689.6,200110080.0,1031974912.0,227020800.0
2017-06-26 22:40:00,203755520.0,200118272.0,1031983104.0,227028992.0
2017-06-26 22:45:00,203755520.0,200118272.0,1031983104.0,227028992.0
2017-06-26 22:50:00,203757977.6,200122368.0,1031987200.0,227033088.0
2017-06-26 22:55:00,203759616.0,200122368.0,1031987200.0,227033088.0
2017-06-26 23:00:00,203766988.8,200126464.0,1031999488.0,227040460.8
2017-06-26 23:05:00,203767808.0,200126464.0,1032001945.6,227041280.0
2017-06-26 23:10:00,203774361.6,200134656.0,1032011776.0,227049472.0
2017-06-26 23:15:00,203776000.0,200134656.0,1032011776.0,227049472.0
2017-06-26 23:20:00,203780096.0,200138752.0,1032015872.0,227053568.0
2017-06-26 23:25:00,203778457.6,200142028.8,1032015872.0,227055206.4
2017-06-26 23:30:00,203792384.0,200155955.2,1032024064.0,227065856.0
2017-06-26 23:35:00,203796480.0,200159232.0,1032024064.0,227065856.0
2017-06-26 23:40:00,203800576.0,200163328.0,1032032256.0,227069952.0
2017-06-26 23:45:00,203800576.0,200163328.0,1032032256.0,227069952.0
2017-06-26 23:50:00,203808768.0,200167424.0,1032040448.0,227078144.0
2017-06-26 23:55:00,203808768.0,200167424.0,1032040448.0,227078144.0
2017-06-27 00:00:00,203820236.8,200178892.8,1032052736.0,227089612.8
2017-06-27 00:05:00,203821056.0,200179712.0,1032052736.0,227090432.0
2017-06-27 00:10:00,203825152.0,200183808.0,1032056832.0,227094528.0
2017-06-27 00:15:00,203825152.0,200187904.0,1032056832.0,227096166.4
2017-06-27 00:20:00,203833344.0,200200192.0,1032065024.0,227110912.0
2017-06-27 00:25:00,203834982.4,200200192.0,1032065024.0,227110912.0
2017-06-27 00:30:00,203845632.0,200204288.0,1032073216.0,227119104.0
2017-06-27 00:35:00,203845632.0,200204288.0,1032073216.0,227119104.0
2017-06-27 00:40:00,203849728.0,200208384.0,1032081408.0,227123200.0
2017-06-27 00:45:00,203849728.0,200208384.0,1032081408.0,227123200.0
2017-06-27 00:50:00,203857920.0,200216576.0,1032089600.0,227131392.0
2017-06-27 00:55:00,203858739.2,200216576.0,1032089600.0,227131392.0
2017-06-27 01:00:00,203866112.0,200227225.6,1032093696.0,227135488.0
2017-06-27 01:05:00,203857920.0,200232960.0,1032096153.6,227135488.0
2017-06-27 01:10:00,203867750.4,200241971.2,1032105984.0,227147776.0
2017-06-27 01:15:00,203867750.4,201290547.2,1037516800.0,227147776.0
2017-06-27 01:20:00,203879219.2,205475840.0,1037520896.0,227151872.0
2017-06-27 01:25:00,203879219.2,205477478.4,1037522534.4,227153510.4
2017-06-27 01:30:00,203882496.0,205484032.0,1037533184.0,228287283.2
2017-06-27 01:35:00,209165516.8,205484032.0,1037533184.0,232796160.0
2017-06-27 01:40:00,209178624.0,205492224.0,1037545472.0,232804352.0
2017-06-27 01:45:00,209176985.6,205496320.0,1037545472.0,232804352.0
2017-06-27 01:50:00,209181081.6,205500416.0,1037549568.0,232814182.4
2017-06-27 01:55:00,209182720.0,205500416.0,1037549568.0,232818278.4
2017-06-27 02:00:00,209204019.2,205516800.0,1037561856.0,232836300.8
2017-06-27 02:05:00,209205657.6,205516800.0,1037561856.0,232837120.0
2017-06-27 02:10:00,209211392.0,205520896.0,1037565952.0,232841216.0
2017-06-27 02:15:00,209211392.0,205520896.0,1037565952.0,232841216.0
2017-06-27 02:20:00,209219584.0,205529088.0,1037578240.0,232849408.0
2017-06-27 02:25:00,209219584.0,205530726.4,1037579878.4,232849408.0
2017-06-27 02:30:00,209227776.0,205541376.0,1037586432.0,232853504.0
2017-06-27 02:35:00,209227776.0,205541376.0,1037586432.0,232853504.0
2017-06-27 02:40:00,209231872.0,205545472.0,1037590528.0,232857600.0
2017-06-27 02:45:00,209231872.0,205545472.0,1037590528.0,232861696.0
2017-06-27 02:50:00,209244160.0,205553664.0,1037598720.0,232869888.0
2017-06-27 02:55:00,209244160.0,205553664.0,1037598720.0,232869888.0
2017-06-27 03:00:00,209291673.6,205585612.8,1037651148.8,232917401.6
2017-06-27 03:05:00,209317888.0,205627392.0,1037680640.0,232943616.0
2017-06-27 03:10:00,209326080.0,205636403.2,1037688832.0,232951808.0
2017-06-27 03:15:00,209326080.0,205639680.0,1037688832.0,232950988.8
2017-06-27 03:20:00,209330176.0,205643776.0,1037692928.0,232955904.0
2017-06-27 03:25:00,209331814.4,205645414.4,1037692928.0,232959180.8
2017-06-27 03:30:00,209342464.0,205651968.0,1037697024.0,232967372.8
2017-06-27 03:35:00,209342464.0,205651968.0,1037696204.8,232968192.0
2017-06-27 03:40:00,209350656.0,205660160.0,1037702758.4,232976384.0
2017-06-27 03:45:00,209350656.0,205660160.0,1037701939.2,232975564.8
2017-06-27 03:50:00,209354752.0,205664256.0,1037710131.2,232979660.8
2017-06-27 03:55:00,209354752.0,205664256.0,1037712588.8,232979660.8
2017-06-27 04:00:00,209362944.0,205676544.0,1037725696.0,232991948.8
2017-06-27 04:05:00,209362944.0,205676544.0,1037725696.0,232992768.0
2017-06-27 04:10:00,209367040.0,205680640.0,1037729792.0,232996044.8
2017-06-27 04:15:00,209371136.0,205684736.0,1037729792.0,232996044.8
2017-06-27 04:20:00,209375232.0,205688832.0,1037733888.0,233009152.0
2017-06-27 04:25:00,209378508.8,205688832.0,1037733888.0,233009971.2
2017-06-27 04:30:00,209391616.0,205701120.0,1037746176.0,233020620.8
2017-06-27 04:35:00,209391616.0,205701120.0,1037746176.0,233021440.0
2017-06-27 04:40:00,209395712.0,205705216.0,1037758464.0,233025536.0
2017-06-27 04:45:00,209395712.0,205705216.0,1037758464.0,233025536.0
2017-06-27 04:50:00,209403904.0,205717504.0,1037766656.0,233033728.0
2017-06-27 04:55:00,209403904.0,205717504.0,1037766656.0,233033728.0
