,c7223,c7318,c7210,c7219
2017-06-26 19:50:00,21192201830.4,21113570099.2,22818878259.2,22732828672.0
2017-06-26 19:55:00,21397838233.6,21349971558.4,23145984000.0,23000941363.2
2017-06-26 20:00:00,21566228070.4,21507169484.8,23540387020.8,23455895552.0
2017-06-26 20:05:00,21707445862.4,21695773081.6,23753216000.0,23662176665.6
2017-06-26 20:10:00,22410788864.0,22144088473.6,24184329011.2,24101800345.6
2017-06-26 20:15:00,22517079244.8,22019115417.6,24223655526.4,24126668800.0
2017-06-26 20:20:00,22346611916.8,22104970854.4,24279796940.8,24199898726.4
2017-06-26 20:25:00,22715882700.8,22458880000.0,24672099532.8,24553766092.8
2017-06-26 20:30:00,22796222464.0,22283244339.2,24784945971.2,25021246668.8
2017-06-26 20:35:00,22717737369.6,22376228454.4,24652531302.4,24542563532.8
2017-06-26 20:40:00,22808338432.0,22808848793.6,24780110233.6,24649692774.4
2017-06-26 20:45:00,23137981235.2,22589806182.4,24914218188.8,24775934771.2
2017-06-26 20:50:00,22957645824.0,22679857561.6,24971473715.2,25101640499.2
2017-06-26 20:55:00,23325031628.8,23344815308.8,25291860377.6,25172072038.4
2017-06-26 21:00:00,23072450969.6,22752302694.4,25084739584.0,24941354188.8
2017-06-26 21:05:00,23103175065.6,22803396198.4,25120072499.2,24991203328.0
2017-06-26 21:10:00,23408540876.8,23071627673.6,25215671500.8,25116996403.2
2017-06-26 21:15:00,23441771724.8,22932150681.6,25518571520.0,25194355097.6
2017-06-26 21:20:00,23246919270.4,22958529740.8,25301376204.8,25182462771.2
2017-06-26 21:25:00,23631202713.6,23287611392.0,25398239232.0,25300144128.0
2017-06-26 21:30:00,23690104012.8,23101527654.4,25500630220.8,25355905433.6
2017-06-26 21:35:00,23355672985.6,23156790067.2,25619507609.6,25322682777.6
2017-06-26 21:40:00,23379339673.6,23454855987.2,25534107648.0,25354450534.4
2017-06-26 21:45:00,23459715481.6,23455852953.6,25551169945.6,25408062259.2
2017-06-26 21:50:00,23446555852.8,23193627033.6,25861572198.4,25722647347.2
2017-06-26 21:55:00,23440134963.2,23203395993.6,25575981875.2,25431225958.4
2017-06-26 22:00:00,23438612070.4,23201897676.8,25574967705.6,25429805465.6
2017-06-26 22:05:00,23438274560.0,23201424179.2,25575031603.2,25429612134.4
2017-06-26 22:10:00,23438329446.4,23201647820.8,25574618726.4,25429664563.2
2017-06-26 22:15:00,23437629030.4,23201366016.0,25574647398.4,25429526937.6
2017-06-26 22:20:00,23438277017.6,23201787904.0,25574468812.8,25429349990.4
2017-06-26 22:25:00,23438034534.4,23201933721.6,25574355763.2,25429436006.4
2017-06-26 22:30:00,23438825062.4,23202565324.8,25573935513.6,25429907865.6
2017-06-26 22:35:00,23438480998.4,23202367897.6,25573915852.8,25429625241.6
2017-06-26 22:40:00,23438245888.0,23202804531.2,25573281792.0,25429255782.4
2017-06-26 22:45:00,23437525811.2,23201741209.6,25573583257.6,25429320499.2
2017-06-26 22:50:00,23438267187.2,23202174566.4,25573660262.4,25429782528.0
2017-06-26 22:55:00,23437849395.2,23201844428.8,25573620121.6,25429577728.0
2017-06-26 23:00:00,23438419558.4,23201823948.8,25574300876.8,25429848883.2
2017-06-26 23:05:00,23438150860.8,23201751859.2,25573892915.2,25429151744.0
2017-06-26 23:10:00,23437606912.0,23201823129.6,25573236736.0,25428812595.2
2017-06-26 23:15:00,23436557516.8,23201347174.4,25573046681.6,25428717568.0
2017-06-26 23:20:00,23437436518.4,23201833779.2,25573263769.6,25429421260.8
2017-06-26 23:25:00,23437537280.0,23201678950.4,25573675827.2,25429142732.8
2017-06-26 23:30:00,23438698905.6,23202046771.2,25573981388.8,25428994457.6
2017-06-26 23:35:00,23438587494.4,23202009088.0,25573919129.6,25428975616.0
2017-06-26 23:40:00,23438362214.4,23202793881.6,25573731532.8,25428851097.6
2017-06-26 23:45:00,23436895027.2,23202163916.8,25573718425.6,25428981350.4
2017-06-26 23:50:00,23437263667.2,23202850406.4,25573216256.0,25429368012.8
2017-06-26 23:55:00,23437049856.0,23202580889.6,25573477580.8,25429133721.6
2017-06-27 00:00:00,23437553664.0,23202285158.4,25574196838.4,25429655552.0
2017-06-27 00:05:00,23437156352.0,23201949286.4,25573883084.8,25429591654.4
