,c6643,c6947
2017-06-28 20:30:00,322746777.6,310281830.4
2017-06-28 20:35:00,322963865.6,310378496.0
2017-06-28 20:40:00,323218636.8,310386688.0
2017-06-28 20:45:00,323507814.4,310386688.0
2017-06-28 20:50:00,379660697.6,365234585.6
2017-06-28 20:55:00,603376844.8,584609792.0
2017-06-28 21:00:00,603755315.2,584700723.2
2017-06-28 21:05:00,604090368.0,584720384.0
2017-06-28 21:10:00,716092211.2,749083852.8
2017-06-28 21:15:00,883934822.4,858660864.0
2017-06-28 21:20:00,884263321.6,858664960.0
2017-06-28 21:25:00,884550041.6,858605158.4
2017-06-28 21:30:00,884668825.6,858399539.2
2017-06-28 21:35:00,884955545.6,859013120.0
2017-06-28 21:40:00,885249638.4,859017216.0
2017-06-28 21:45:00,885322547.2,859108147.2
2017-06-28 21:50:00,886331801.6,860012544.0
2017-06-28 21:55:00,888371609.6,861265920.0
2017-06-28 22:00:00,888813977.6,861612441.6
2017-06-28 22:05:00,889066291.2,861877862.4
2017-06-28 22:10:00,889384140.8,861882777.6
2017-06-28 22:15:00,889679872.0,861884416.0
2017-06-28 22:20:00,889786368.0,861782016.0
2017-06-28 22:25:00,890082099.2,861782016.0
2017-06-28 22:30:00,890389299.2,861791027.2
2017-06-28 22:35:00,890424524.8,861453516.8
2017-06-28 22:40:00,890558054.4,861380608.0
2017-06-28 22:45:00,890866073.6,861384704.0
2017-06-28 22:50:00,891115929.6,861293772.8
2017-06-28 22:55:00,891333836.8,861151232.0
2017-06-28 23:00:00,891629568.0,861155328.0
2017-06-28 23:05:00,891916288.0,861155328.0
2017-06-28 23:10:00,891896627.2,861675520.0
2017-06-28 23:15:00,892175155.2,861675520.0
2017-06-28 23:20:00,892469248.0,861679616.0
2017-06-28 23:25:00,892300492.8,861445324.8
2017-06-28 23:30:00,892497100.8,863040307.2
2017-06-28 23:35:00,892797747.2,869597184.0
2017-06-28 23:40:00,892740403.2,869006540.8
2017-06-28 23:45:00,892796108.8,868614144.0
2017-06-28 23:50:00,893078732.8,868618240.0
2017-06-28 23:55:00,893348249.6,868618240.0
2017-06-29 00:00:00,893097574.4,868818124.8
2017-06-29 00:05:00,893366272.0,868818944.0
2017-06-29 00:10:00,893636608.0,868823040.0
2017-06-29 00:15:00,893758668.8,919367680.0
2017-06-29 00:20:00,893829120.0,867565568.0
2017-06-29 00:25:00,894086348.8,867567206.4
2017-06-29 00:30:00,894355865.6,867576217.6
2017-06-29 00:35:00,894713036.8,865565900.8
2017-06-29 00:40:00,894994841.6,865067008.0
2017-06-29 00:45:00,895247974.4,865067008.0
2017-06-29 00:50:00,895505203.2,865075200.0
2017-06-29 00:55:00,895693619.2,864067584.0
2017-06-29 01:00:00,895944294.4,864074956.8
2017-06-29 01:05:00,896194150.4,864075776.0
2017-06-29 01:10:00,896452198.4,864038912.0
2017-06-29 01:15:00,895806668.8,863858688.0
2017-06-29 01:20:00,896070451.2,863862784.0
2017-06-29 01:25:00,896321126.4,863864422.4
2017-06-29 01:30:00,896599654.4,863816089.6
2017-06-29 01:35:00,896911769.6,868846796.8
2017-06-29 01:40:00,901467340.8,868855808.0
2017-06-29 01:45:00,902782976.0,868854169.6
2017-06-29 01:50:00,903101644.8,868802560.0
2017-06-29 01:55:00,903630848.0,868720640.0
2017-06-29 02:00:00,903880704.0,868736204.8
2017-06-29 02:05:00,904115814.4,868737024.0
2017-06-29 02:10:00,904305049.6,868559257.6
2017-06-29 02:15:00,904316518.4,868286464.0
2017-06-29 02:20:00,904563916.8,868294656.0
2017-06-29 02:25:00,904803942.4,868294656.0
2017-06-29 02:30:00,905064448.0,867910451.2
2017-06-29 02:35:00,905329868.8,867328000.0
2017-06-29 02:40:00,905569075.2,867332096.0
2017-06-29 02:45:00,905798451.2,867336192.0
2017-06-29 02:50:00,906122035.2,867067494.4
2017-06-29 02:55:00,906478387.2,866652160.0
2017-06-29 03:00:00,906777395.2,866716876.8
2017-06-29 03:05:00,907020697.6,866729984.0
2017-06-29 03:10:00,907260723.2,866733260.8
2017-06-29 03:15:00,907496652.8,866713600.0
2017-06-29 03:20:00,907732582.4,866717696.0
2017-06-29 03:25:00,907961958.4,866717696.0
2017-06-29 03:30:00,908191334.4,866728345.6
2017-06-29 03:35:00,907966873.6,867016704.0
2017-06-29 03:40:00,908212633.6,867024896.0
2017-06-29 03:45:00,908454297.6,867024896.0
2017-06-29 03:50:00,908696780.8,867028992.0
2017-06-29 03:55:00,908409241.6,867254272.0
2017-06-29 04:00:00,908530483.2,867262464.0
2017-06-29 04:05:00,908774604.8,867262464.0
2017-06-29 04:10:00,909021184.0,867264921.6
2017-06-29 04:15:00,908850790.4,867872768.0
2017-06-29 04:20:00,909093273.6,867880960.0
2017-06-29 04:25:00,909330022.4,867880960.0
2017-06-29 04:30:00,909581516.8,867893248.0
2017-06-29 04:35:00,909622476.8,868510924.8
2017-06-29 04:40:00,909811712.0,868515840.0
2017-06-29 04:45:00,910052556.8,868515840.0
2017-06-29 04:50:00,910301593.6,868524032.0
2017-06-29 04:55:00,910334361.6,868573184.0
2017-06-29 05:00:00,916169523.2,874156032.0
2017-06-29 05:05:00,916402995.2,874156032.0
2017-06-29 05:10:00,916638105.6,874160128.0
2017-06-29 05:15:00,916727398.4,874189619.2
2017-06-29 05:20:00,916932198.4,874209280.0
2017-06-29 05:25:00,917169766.4,874210918.4
2017-06-29 05:30:00,917407334.4,874217472.0
2017-06-29 05:35:00,917558886.4,874396876.8
2017-06-29 05:40:00,917740748.8,874524672.0
2017-06-29 05:45:00,917975859.2,874524672.0
2017-06-29 05:50:00,918213427.2,874528768.0
2017-06-29 05:55:00,972993331.2,874649190.4
2017-06-29 06:00:00,918368256.0,874740121.6
2017-06-29 06:05:00,918605824.0,874741760.0
2017-06-29 06:10:00,918849126.4,874749952.0
2017-06-29 06:15:00,918967910.4,874870374.4
2017-06-29 06:20:00,919032627.2,874954752.0
2017-06-29 06:25:00,919266918.4,874956390.4
2017-06-29 06:30:00,919515136.0,874967859.2
2017-06-29 06:35:00,919629004.8,875186585.6
2017-06-29 06:40:00,920130355.2,875844403.2
2017-06-29 06:45:00,920867635.2,876183552.0
2017-06-29 06:50:00,921119129.6,876189286.4
2017-06-29 06:55:00,921187123.2,876147507.2
2017-06-29 07:00:00,921323929.6,876126208.0
2017-06-29 07:05:00,921564774.4,876126208.0
2017-06-29 07:10:00,921803980.8,876130304.0
2017-06-29 07:15:00,921825280.0,875857510.4
2017-06-29 07:20:00,921931776.0,875682201.6
2017-06-29 07:25:00,922173440.0,875685478.4
2017-06-29 07:30:00,922422476.8,875692032.0
2017-06-29 07:35:00,922492108.8,875406950.4
2017-06-29 07:40:00,922614988.8,875339776.0
2017-06-29 07:45:00,922842726.4,875339776.0
2017-06-29 07:50:00,923088486.4,875347968.0
2017-06-29 07:55:00,923216281.6,875026841.6
2017-06-29 08:00:00,923380121.6,874958028.8
2017-06-29 08:05:00,923611955.2,874958848.0
2017-06-29 08:10:00,923852800.0,874967040.0
2017-06-29 08:15:00,924012544.0,874736025.6
2017-06-29 08:20:00,924200140.8,874590208.0
2017-06-29 08:25:00,924440166.4,874591846.4
2017-06-29 08:30:00,924686745.6,874599219.2
2017-06-29 08:35:00,924807987.2,874523852.8
2017-06-29 08:40:00,925028352.0,874512384.0
2017-06-29 08:45:00,925268377.6,874516480.0
2017-06-29 08:50:00,925518233.6,874520576.0
2017-06-29 08:55:00,925631283.2,874717184.0
2017-06-29 09:00:00,925847552.0,874725376.0
2017-06-29 09:05:00,926085120.0,874725376.0
2017-06-29 09:10:00,926326784.0,874733568.0
