,c6643,c6947
2017-06-28 20:30:00,4158763827.2,4200158822.4
2017-06-28 20:35:00,4160767590.4,4200252211.2
2017-06-28 20:40:00,4158190387.2,4201694822.4
2017-06-28 20:45:00,4160465305.6,4203308646.4
2017-06-28 20:50:00,4155951513.6,4198804684.8
2017-06-28 20:55:00,4158496768.0,4198454886.4
2017-06-28 21:00:00,4160807731.2,4200433254.4
2017-06-28 21:05:00,4153464422.4,4204344115.2
2017-06-28 21:10:00,4161773568.0,4202491084.8
2017-06-28 21:15:00,4163113779.2,4205050265.6
2017-06-28 21:20:00,4154964377.6,4204925747.2
2017-06-28 21:25:00,4165826969.6,4203660083.2
2017-06-28 21:30:00,4160457932.8,4208457318.4
2017-06-28 21:35:00,4163686400.0,4207285862.4
2017-06-28 21:40:00,4162895052.8,4202588569.6
2017-06-28 21:45:00,4167518617.6,4212029849.6
2017-06-28 21:50:00,4164174643.2,4207191654.4
2017-06-28 21:55:00,4166225100.8,4210913280.0
2017-06-28 22:00:00,4164575232.0,4214693888.0
2017-06-28 22:05:00,4158435328.0,4209543577.6
2017-06-28 22:10:00,4155373158.4,4210400460.8
2017-06-28 22:15:00,4162525593.6,4211797196.8
2017-06-28 22:20:00,4166100582.4,4216923750.4
2017-06-28 22:25:00,4163163750.4,4212992409.6
2017-06-28 22:30:00,4167158169.6,4210726502.4
2017-06-28 22:35:00,4164188569.6,4211983974.4
2017-06-28 22:40:00,4167858585.6,4207644672.0
2017-06-28 22:45:00,4164277043.2,4208219750.4
2017-06-28 22:50:00,4167524352.0,4211337625.6
2017-06-28 22:55:00,4165713920.0,4201205760.0
2017-06-28 23:00:00,4163398860.8,4212314931.2
2017-06-28 23:05:00,4166850969.6,4212703232.0
2017-06-28 23:10:00,4162884403.2,4210553651.2
2017-06-28 23:15:00,4162581299.2,4212170752.0
2017-06-28 23:20:00,4158922752.0,4213692825.6
2017-06-28 23:25:00,4169245491.2,4209891737.6
2017-06-28 23:30:00,4165382963.2,4215278796.8
2017-06-28 23:35:00,4163573350.4,4209577164.8
2017-06-28 23:40:00,4161066598.4,4212863795.2
2017-06-28 23:45:00,4159192268.8,4205469696.0
2017-06-28 23:50:00,4162958950.4,4204377702.4
2017-06-28 23:55:00,4159354470.4,4204691456.0
2017-06-29 00:00:00,4166719078.4,4209660723.2
2017-06-29 00:05:00,4165673779.2,4211616972.8
2017-06-29 00:10:00,4163868262.4,4210946867.2
2017-06-29 00:15:00,4165116723.2,4203774771.2
2017-06-29 00:20:00,4164409753.6,4208533504.0
2017-06-29 00:25:00,4164593254.4,4209665638.4
2017-06-29 00:30:00,4163033497.6,4212944896.0
2017-06-29 00:35:00,4168536883.2,4206061158.4
2017-06-29 00:40:00,4163668377.6,4210447155.2
2017-06-29 00:45:00,4164735795.2,4212382924.8
2017-06-29 00:50:00,4164132044.8,4205821132.8
2017-06-29 00:55:00,4170255564.8,4210632294.4
2017-06-29 01:00:00,4162276556.8,4213868134.4
2017-06-29 01:05:00,4165522227.2,4212644249.6
2017-06-29 01:10:00,4165347737.6,4214947020.8
2017-06-29 01:15:00,4165747507.2,4212433715.2
2017-06-29 01:20:00,4163701964.8,4217698713.6
2017-06-29 01:25:00,4164798873.6,4211959398.4
2017-06-29 01:30:00,4167295795.2,4212590182.4
2017-06-29 01:35:00,4162058649.6,4211902873.6
2017-06-29 01:40:00,4163105587.2,4207357952.0
2017-06-29 01:45:00,4158130585.6,4212117504.0
2017-06-29 01:50:00,4165160140.8,4215818649.6
