,c6643,c6947
2017-06-28 20:30:00,310.5,297.0
2017-06-28 20:35:00,309.6,315.0
2017-06-28 20:40:00,324.0,302.4
2017-06-28 20:45:00,324.0,292.5
2017-06-28 20:50:00,319.5,301.5
2017-06-28 20:55:00,301.5,283.5
2017-06-28 21:00:00,310.5,297.0
2017-06-28 21:05:00,310.5,301.5
2017-06-28 21:10:00,316.8,301.5
2017-06-28 21:15:00,324.0,306.0
2017-06-28 21:20:00,315.0,288.0
2017-06-28 21:25:00,306.0,297.0
2017-06-28 21:30:00,310.5,288.0
2017-06-28 21:35:00,318.0,294.0
2017-06-28 21:40:00,324.0,301.5
2017-06-28 21:45:00,320.4,297.0
2017-06-28 21:50:00,319.5,306.0
2017-06-28 21:55:00,297.0,297.0
2017-06-28 22:00:00,310.5,301.5
2017-06-28 22:05:00,324.0,306.0
2017-06-28 22:10:00,310.5,283.5
2017-06-28 22:15:00,319.5,301.5
2017-06-28 22:20:00,310.5,306.0
2017-06-28 22:25:00,297.0,292.5
2017-06-28 22:30:00,313.2,288.0
2017-06-28 22:35:00,301.5,291.6
2017-06-28 22:40:00,324.0,288.0
2017-06-28 22:45:00,300.0,294.0
2017-06-28 22:50:00,315.0,297.0
2017-06-28 22:55:00,315.0,297.0
2017-06-28 23:00:00,309.6,288.0
2017-06-28 23:05:00,310.5,288.0
2017-06-28 23:10:00,301.5,292.5
2017-06-28 23:15:00,306.0,297.0
2017-06-28 23:20:00,324.0,301.5
2017-06-28 23:25:00,324.0,297.0
2017-06-28 23:30:00,319.5,297.0
2017-06-28 23:35:00,310.5,283.5
2017-06-28 23:40:00,301.5,297.0
2017-06-28 23:45:00,310.5,292.5
2017-06-28 23:50:00,306.0,301.5
2017-06-28 23:55:00,315.0,297.0
2017-06-29 00:00:00,306.0,306.0
2017-06-29 00:05:00,324.0,288.0
2017-06-29 00:10:00,315.0,301.5
2017-06-29 00:15:00,319.5,297.0
2017-06-29 00:20:00,324.0,297.0
2017-06-29 00:25:00,319.5,301.5
2017-06-29 00:30:00,298.8,306.0
2017-06-29 00:35:00,319.5,292.5
2017-06-29 00:40:00,324.0,306.0
2017-06-29 00:45:00,319.5,288.0
2017-06-29 00:50:00,310.5,292.5
2017-06-29 00:55:00,324.0,292.5
2017-06-29 01:00:00,310.5,301.5
2017-06-29 01:05:00,315.0,306.0
2017-06-29 01:10:00,319.5,310.5
2017-06-29 01:15:00,319.5,283.5
2017-06-29 01:20:00,315.0,306.0
2017-06-29 01:25:00,315.0,279.0
2017-06-29 01:30:00,315.0,288.0
2017-06-29 01:35:00,319.5,301.5
2017-06-29 01:40:00,319.5,288.0
2017-06-29 01:45:00,315.0,279.0
2017-06-29 01:50:00,324.0,274.5
2017-06-29 01:55:00,320.4,301.5
2017-06-29 02:00:00,324.0,297.0
2017-06-29 02:05:00,310.5,291.6
2017-06-29 02:10:00,324.0,297.0
2017-06-29 02:15:00,324.0,297.0
2017-06-29 02:20:00,324.0,292.5
2017-06-29 02:25:00,324.0,270.0
2017-06-29 02:30:00,319.5,301.5
2017-06-29 02:35:00,310.5,301.5
2017-06-29 02:40:00,324.0,301.5
2017-06-29 02:45:00,306.0,297.0
2017-06-29 02:50:00,324.0,306.0
2017-06-29 02:55:00,316.8,292.5
2017-06-29 03:00:00,306.0,295.2
2017-06-29 03:05:00,315.0,306.0
2017-06-29 03:10:00,324.0,301.5
2017-06-29 03:15:00,324.0,306.0
2017-06-29 03:20:00,324.0,288.0
2017-06-29 03:25:00,306.0,283.5
