,c7315,c7119,c7316,c7321,c7203,c7123,c7104,c6911,c7102,c6917,c7101,c7124,c7344,c6918,c6919,c7120,c7121,c7122,c7109,c7113,c7202,c7319,c7318,c7340,c7341,c7317,c7309,c7103,c7115,c7114,c7116,c7111,c7110,c6907,c7112,c7223,c6924,c6923,c6922,c6921,c6920,c7201,c7320
2017-07-07 22:40:00,93633740.8,95804620.8,92865331.2,93076684.8,95908659.2,95460556.8,95441715.2,98233548.8,96015155.2,96289587.2,94502092.8,96551731.2,84833075.2,97140736.0,97583923.2,94643814.4,96397721.6,92789964.8,92611379.2,95912755.2,95301632.0,93705011.2,96109363.2,93174169.6,96087244.8,96688537.6,94661017.6,94134272.0,95842304.0,96117555.2,95268044.8,93688627.2,94327603.2,452724326.4,96289587.2,96258457.6,97050624.0,95558860.8,98364620.8,96410828.8,98478489.6,95820185.6,95212339.2
2017-07-07 22:45:00,106892492.8,107370905.6,105909452.8,105964339.2,107442176.0,105524428.8,106753228.8,106953932.8,107728896.0,107675648.0,107153817.6,108229427.2,97332428.8,105662873.6,106273996.8,104729804.8,107757568.0,104188313.6,104380006.4,105834086.4,107604377.6,105279488.0,107495424.0,105845555.2,107261952.0,108048384.0,107565875.2,107077632.0,107559321.6,107504435.2,105336012.8,104962457.6,104251392.0,182095052.8,106188800.0,114450432.0,105775104.0,104250572.8,107379916.8,105134489.6,107163648.0,107272601.6,107077632.0
2017-07-07 22:50:00,107269324.8,107912396.8,106438656.0,106499276.8,108035276.8,107573248.0,109013401.6,108605440.0,108120473.6,107679744.0,107646156.8,108658688.0,97615872.0,107274240.0,107925504.0,106770432.0,108294144.0,106989977.6,104820736.0,108018073.6,107855872.0,105910272.0,107510169.6,106332160.0,107274240.0,108678348.8,108095078.4,107325849.6,107958272.0,107511808.0,107376640.0,105893888.0,106435379.2,183821107.2,108186009.6,116156825.6,107428249.6,105902080.0,109031424.0,106789273.6,108811878.4,107810816.0,107419238.4
2017-07-07 22:55:00,107269324.8,107913216.0,106438656.0,106500096.0,108040192.0,107573248.0,109014220.8,108606259.2,108122112.0,107679744.0,107646976.0,108658688.0,97614233.6,107270963.2,107925504.0,106770432.0,108294144.0,106990796.8,104820736.0,108018892.8,107857510.4,105908633.6,107510169.6,106336256.0,107274240.0,108679168.0,108097536.0,107327488.0,107960729.6,107511808.0,107376640.0,105893888.0,106437836.8,365763788.8,108186009.6,116153548.8,107429888.0,105901260.8,109028147.2,106790912.0,108813516.8,107811635.2,107421696.0
2017-07-07 23:00:00,108316262.4,108985548.8,108930662.4,107537203.2,109096960.0,108634931.2,109985792.0,109666304.0,109194444.8,108760268.8,108713574.4,109732659.2,98667724.8,108326092.8,108977356.8,107840307.2,109343539.2,107829657.6,105890611.2,109087129.6,108913459.2,106962124.8,108553830.4,107373363.2,108360499.2,109719552.0,109140377.6,108368691.2,109101875.2,108563660.8,108444057.6,106969497.6,107503616.0,577849753.6,109254246.4,117194752.0,108486656.0,106953932.8,110080000.0,107839488.0,109870284.8,108867584.0,108476006.4
2017-07-07 23:05:00,108347392.0,109097779.2,108964249.6,107567513.6,109129728.0,108743884.8,110098841.6,109699072.0,109305856.0,108851200.0,108821708.8,109842432.0,98701312.0,108356403.2,109010944.0,107950080.0,109379584.0,108171264.0,106000384.0,109195264.0,108944588.8,106998169.6,108685721.6,107403673.6,108448153.6,109752320.0,109170688.0,108404736.0,109230489.6,108595609.6,108552192.0,107081728.0,107614208.0,577885798.4,109368115.2,117225881.6,108519424.0,106987520.0,110112768.0,107872256.0,109903872.0,108899532.8,108511232.0
2017-07-07 23:10:00,108353126.4,109113344.0,108974080.0,107577344.0,109142016.0,108755353.6,110109491.2,109705625.6,109314048.0,108859392.0,108834816.0,109850624.0,98711961.6,108371968.0,109019136.0,107958272.0,109387776.0,108177817.6,106016768.0,109203456.0,108953600.0,107006361.6,108695552.0,107415961.6,108457984.0,109760512.0,109178880.0,108412928.0,109236224.0,108605440.0,108562841.6,107088281.6,107622400.0,577898086.4,109383680.0,117234073.6,108527616.0,106994073.6,110119321.6,107879628.8,109916160.0,108912640.0,108519424.0
2017-07-07 23:15:00,108353945.6,109113344.0,108974080.0,107575705.6,109142016.0,108761088.0,110109491.2,109797376.0,109314048.0,108863488.0,108838912.0,109850624.0,98716876.8,108461260.8,109109248.0,107958272.0,109391872.0,108179456.0,106016768.0,109207552.0,108953600.0,107012096.0,108695552.0,107421696.0,108457984.0,109764608.0,109178880.0,108411289.6,109240320.0,108626739.2,108564480.0,107089920.0,107624857.6,1198863974.4,109383680.0,117235712.0,108621824.0,107089920.0,110215168.0,107968921.6,110006272.0,108912640.0,108523520.0
2017-07-07 23:20:00,108359680.0,109117440.0,108978176.0,107581440.0,109146112.0,108765184.0,110116864.0,109799833.6,109318144.0,108867584.0,108843008.0,109854720.0,98725888.0,108466176.0,109117440.0,107960729.6,109395968.0,108182732.8,106019225.6,109211648.0,108961792.0,107222630.4,108698009.6,107424153.6,108462080.0,109768704.0,109187072.0,108415385.6,109249331.2,108706201.6,108568576.0,107094016.0,107633049.6,1327888793.6,109386137.6,117239808.0,108624281.6,107094016.0,110219264.0,107974656.0,110011187.2,108919193.6,108527616.0
2017-07-07 23:25:00,109493452.8,110338048.0,109995622.4,108715212.8,110363443.2,109987430.4,110725529.6,111013888.0,110535475.2,110112768.0,109998080.0,111070412.8,99894067.2,109688422.4,110334771.2,109186252.8,110663270.4,108792217.6,107428249.6,110433894.4,110871347.2,108498944.0,109944832.0,108593971.2,109709721.6,110986035.2,110353612.8,109599129.6,110476492.8,109954662.4,109792460.8,108475187.2,108856934.4,1329035673.6,110601830.4,118457139.2,109847347.2,108316262.4,111438233.6,109196083.2,111228518.4,110134886.4,109743308.8
