,c7315,c7119,c7316,c7321,c7203,c7123,c7104,c6911,c7102,c6917,c7101,c7124,c7344,c6918,c6919,c7120,c7121,c7122,c7109,c7113,c7202,c7319,c7318,c7340,c7341,c7317,c7309,c7103,c7115,c7114,c7116,c7111,c7110,c6907,c7112,c7223,c6924,c6923,c6922,c6921,c6920,c7201,c7320
2017-07-07 22:40:00,66968676761.6,61015658496.0,67120354918.4,51151894118.4,64090295500.8,60229815500.8,52380512256.0,50377829580.8,60173847756.8,52404756480.0,54682302054.4,60571893760.0,37719438131.2,48089027379.2,59675669299.2,59814094438.4,66765174374.4,50629899878.4,55842796339.2,58222773862.4,77829876940.8,62867514163.2,73202578227.2,60180104806.4,54216045363.2,61281608499.2,66536616755.2,66110481203.2,60585099264.0,61997452492.8,53410053324.8,59932606464.0,59804305817.6,47404489113.6,54795899699.2,65840920985.6,60366766899.2,59697880268.8,52019703808.0,57340207104.0,60182143795.2,57386659840.0,59702556262.4
2017-07-07 22:45:00,99704596070.4,98479522611.2,99671369318.4,80582085836.8,98418372608.0,98025194291.2,94193562419.2,82295736729.6,96543406489.6,81870360576.0,88025091276.8,97802441523.2,54630727680.0,78475446681.6,96755640729.6,97271048601.6,89886946918.4,91087545958.4,87910448332.8,95636591411.2,98209810022.4,98075711078.4,96840777728.0,86519146905.6,85681196236.8,85110374400.0,90137601638.4,98465225932.8,95378814566.4,97301940633.6,87409018470.4,97495098982.4,98425283379.2,77154249932.8,90561180467.2,92272839884.8,98010441318.4,97064534016.0,86049856716.8,93269537587.2,97748434944.0,86293449113.6,93894343065.6
2017-07-07 22:50:00,98073744998.4,97833425305.6,98588500787.2,80387191603.2,98224677683.2,97865489612.8,95401574400.0,82397226598.4,96029492838.4,81709877657.6,87351575347.2,97148438118.4,54368128204.8,78256909516.8,96546874982.4,97105240064.0,89997680640.0,92395316838.4,88238854144.0,94363387494.4,98658635776.0,97719482777.6,96515312025.6,84935934771.2,85476714905.6,84891553792.0,90182491340.8,97009181491.2,95699682918.4,97059192012.8,86781777510.4,96897250918.4,97083915468.8,77153534771.2,89082558873.6,91973109350.4,98196025344.0,97039848243.2,89076272332.8,93428029030.4,97578020044.8,84848436019.2,93590492774.4
2017-07-07 22:55:00,98078903500.8,97822334156.8,98384441344.0,80400644505.6,98265215795.2,97866603724.8,95744380928.0,82408373452.8,96066495283.2,81757503488.0,87365373952.0,97117256908.8,54408641740.8,78256837427.2,96547271475.2,97105680793.6,90034443059.2,92429040844.8,88225525760.0,94304124108.8,98472904294.4,97716717158.4,96558554316.8,85058721382.4,85500703539.2,84921224396.8,90296854118.4,96989970432.0,95700245708.8,97072046080.0,86784230195.2,96888085708.8,97071668428.8,77144739840.0,89074783027.2,92346609664.0,98122258841.6,97028633395.2,89090325708.8,93428876902.4,97577376972.8,84896114278.4,93590371532.8
2017-07-07 23:00:00,101213269196.8,100069832294.4,101452926156.8,82630276710.4,101114821836.8,101041560780.8,98511014297.6,84161883340.8,97790763827.2,85196613222.4,89051557888.0,99303407616.0,55855935488.0,80981381120.0,99718417612.8,100305405542.4,94624477184.0,95042936832.0,91419462041.6,96018136268.8,100159800934.4,100613497651.2,101184729088.0,87109645107.2,88336497868.8,90879770624.0,94361762201.6,100038384844.8,99246103756.8,99455230771.2,89748889600.0,99008194969.6,98850580889.6,79456006963.2,90629290393.6,94414392524.8,99773093478.4,99977429811.2,90401936179.2,94961955635.2,100684183961.6,90896850124.8,95937843200.0
2017-07-07 23:05:00,98189406208.0,97928129740.8,98404850892.8,80420246323.2,98197210726.4,97987536486.4,95741938892.8,82515732889.6,95737339084.8,81733727846.4,87290307379.2,97206653747.2,54438182092.8,78282133504.0,96623913369.6,97227386880.0,90120707276.8,92549951488.0,88286304665.6,94366447206.4,98786838118.4,97776094412.8,96614502400.0,85050121420.8,85518319616.0,84982898688.0,90291262259.2,97070297907.2,95779359129.6,97175665049.6,86867403571.2,96977185996.8,97169130291.2,77189473075.2,89137101209.6,92267696128.0,98805475737.6,97270899507.2,89722889830.4,93524920729.6,97659981824.0,84909395148.8,93619098419.2
2017-07-07 23:10:00,98270354636.8,97944139366.4,98717360947.2,80452762009.6,98466356428.8,97968815308.8,96090927923.2,82512585523.2,96107174297.6,81792825753.6,87395123200.0,97233593139.2,54435835904.0,78263806361.6,96596361216.0,97206738124.8,90141115187.2,92549015961.6,88298157670.4,94362002227.2,98271587532.8,97814559129.6,96647062323.2,85051128217.6,85556228096.0,85016769331.2,90686901452.8,97145399705.6,95821743718.4,97211422310.4,86860734464.0,96976255385.6,97159618560.0,77186697625.6,89135830630.4,92888401510.4,98050786099.2,97021245030.4,89216556236.8,93479553433.6,97640162918.4,85071029043.2,93665523302.4
2017-07-07 23:15:00,99118185676.8,98583428300.8,99375807692.8,81179879833.6,99204921753.6,98527866880.0,95998704844.8,82954611916.8,96471881318.4,82449857740.8,87818230988.8,97841049600.0,54972225126.4,78672683008.0,97140785152.0,97737580544.0,90925445939.2,92801333657.6,88904162508.8,94950440960.0,100937760768.0,98678419456.0,97754218496.0,86350159052.8,86335528960.0,85812735180.8,91419158118.4,97995023155.2,96461987840.0,98007951769.6,87316230963.2,97615825305.6,97733863014.4,77669507072.0,89597242572.8,93174150758.4,98771247923.2,97640502067.2,89740947456.0,93883928576.0,98193167974.4,85802756505.6,94334967808.0
2017-07-07 23:20:00,98586182451.2,105303754342.4,98522373324.8,82108169420.8,101820352102.4,99595598233.6,96975980953.6,85386047488.0,103258700185.6,83526991872.0,93842012569.6,104522818355.2,54826744217.6,79437552844.8,98590869913.6,99268881612.8,90396847308.8,94054965248.0,93293399244.8,96823280435.2,100329525248.0,100829053747.2,97130961305.6,86827896832.0,87413771468.8,85378750054.4,90491731968.0,97999341158.4,99737345228.8,99715390668.8,88739005235.2,101478595788.8,99612657254.4,80027643904.0,91350161817.6,92621735526.4,101231489843.2,100435312640.0,90549569945.6,96286350540.8,101067212390.4,85360961945.6,95596920012.8
2017-07-07 23:25:00,98213158092.8,97975118233.6,98382268006.4,80456876851.2,98327128473.6,98051539763.2,95747772416.0,82561321369.6,96159707136.0,81781012889.6,87445392588.8,97279691161.6,54424776704.0,78327776051.2,96674607923.2,97305161728.0,90104181555.2,92543951667.2,88346751795.2,94453568307.2,99041796096.0,97813198438.4,96650000793.6,85082420019.2,85554543820.8,84999442432.0,90280361164.8,97173603123.2,95838409523.2,97231577907.2,86907555020.8,97044439859.2,97235728793.6,77222011699.2,89184555827.2,92175531212.8,98692925849.6,97432525209.6,89423511552.0,93548580864.0,97726115020.8,84916088012.8,93659364556.8
