,c6913,c6631,c6630,c6628,c7124,c7120,c7119,c7121,c7122,c7123,c7116
2017-07-14 23:35:00,66.0,69.75,68.0,67.25,60.25,61.5,63.75,65.5,63.25,64.75,63.25
2017-07-14 23:40:00,67.0,69.8,68.0,65.6,60.0,62.25,64.5,66.0,63.75,65.0,64.75
2017-07-14 23:45:00,67.8,70.5,69.0,66.25,60.5,62.25,64.75,66.0,64.25,65.75,65.0
2017-07-14 23:50:00,67.25,69.25,67.75,66.5,60.4,62.2,64.4,66.2,64.0,65.4,65.0
2017-07-14 23:55:00,66.0,70.25,68.25,65.75,59.75,61.0,63.0,65.5,63.5,63.75,63.5
2017-07-15 00:00:00,66.75,70.0,68.25,66.5,60.25,62.5,64.25,67.25,64.75,65.0,64.25
2017-07-15 00:05:00,66.5,68.75,67.75,65.25,60.25,62.25,64.5,66.5,64.75,64.5,65.0
2017-07-15 00:10:00,67.25,70.75,69.5,66.75,60.5,62.75,64.75,66.75,64.75,65.0,65.0
2017-07-15 00:15:00,66.25,69.75,67.5,65.25,60.5,62.5,65.0,66.75,64.5,64.75,65.25
2017-07-15 00:20:00,66.75,70.0,68.2,65.6,60.0,62.25,65.0,66.5,64.25,65.5,65.25
2017-07-15 00:25:00,66.2,69.0,68.25,66.25,60.25,62.75,65.0,66.5,64.5,64.75,64.75
2017-07-15 00:30:00,66.5,68.75,67.25,65.5,60.0,62.0,65.0,66.75,64.25,65.0,65.0
2017-07-15 00:35:00,65.75,69.75,68.5,66.0,60.4,62.6,65.0,66.6,64.4,65.2,64.8
2017-07-15 00:40:00,67.0,70.0,68.75,66.25,60.0,61.75,64.25,66.25,64.0,64.75,63.75
2017-07-15 00:45:00,66.5,70.25,68.75,66.0,60.5,62.75,65.25,67.25,64.75,64.75,65.0
2017-07-15 00:50:00,67.25,69.0,68.5,65.75,60.5,62.25,65.25,67.25,64.25,65.25,64.5
2017-07-15 00:55:00,67.25,70.5,69.0,66.0,60.0,62.0,64.5,66.0,64.0,64.25,64.0
2017-07-15 01:00:00,66.5,69.75,68.5,66.25,60.0,61.75,64.25,65.5,63.5,64.75,64.75
2017-07-15 01:05:00,66.25,70.25,68.25,65.5,60.25,61.75,64.5,66.25,64.25,65.25,64.5
2017-07-15 01:10:00,66.75,70.25,68.75,65.25,60.0,62.25,65.0,66.0,64.25,64.75,64.5
2017-07-15 01:15:00,67.25,69.8,68.6,65.6,60.0,62.5,64.75,66.75,64.0,65.0,64.5
2017-07-15 01:20:00,66.8,69.25,68.25,65.75,59.75,62.75,64.75,66.5,63.75,65.5,64.5
2017-07-15 01:25:00,67.0,69.5,68.75,67.0,60.25,62.25,64.75,66.75,64.0,65.5,65.0
2017-07-15 01:30:00,67.25,69.75,68.5,66.0,60.6,62.6,65.4,67.0,64.4,65.8,65.8
2017-07-15 01:35:00,67.0,69.75,69.0,66.0,60.0,62.0,64.25,65.75,63.25,64.75,65.0
2017-07-15 01:40:00,66.5,69.0,68.25,65.5,59.75,61.75,63.75,65.25,63.5,64.5,63.75
2017-07-15 01:45:00,66.5,70.0,69.25,66.75,60.0,62.75,64.5,66.5,64.25,65.25,65.25
2017-07-15 01:50:00,66.25,69.5,68.5,66.0,60.25,62.25,64.75,66.5,63.75,65.5,65.25
2017-07-15 01:55:00,66.25,70.0,68.5,66.0,60.0,62.5,64.5,66.5,64.75,65.0,64.75
2017-07-15 02:00:00,67.0,69.75,68.5,65.5,59.25,62.75,65.0,65.5,64.25,65.25,65.5
2017-07-15 02:05:00,66.0,69.0,68.0,64.75,60.0,61.25,64.0,65.5,64.0,65.25,64.5
2017-07-15 02:10:00,66.0,69.75,68.75,66.0,60.25,62.75,65.0,67.25,65.0,64.75,65.0
2017-07-15 02:15:00,67.0,69.5,68.75,66.5,59.5,62.0,63.75,66.0,63.5,64.75,63.75
2017-07-15 02:20:00,66.75,69.5,69.0,66.25,60.5,63.0,65.0,67.5,65.0,65.5,65.5
2017-07-15 02:25:00,67.25,70.5,69.25,67.0,60.75,63.25,65.0,66.75,65.0,65.75,65.5
2017-07-15 02:30:00,66.0,69.6,68.0,65.8,60.0,62.25,64.25,66.5,63.75,64.0,63.75
2017-07-15 02:35:00,66.0,69.5,67.75,66.25,60.5,62.5,64.75,67.25,64.5,64.75,65.25
2017-07-15 02:40:00,66.25,70.0,68.5,66.5,59.75,61.75,64.25,66.25,64.0,64.25,64.25
2017-07-15 02:45:00,65.75,70.75,69.75,67.0,61.0,63.25,65.25,67.5,64.75,66.0,65.25
2017-07-15 02:50:00,65.75,70.0,68.75,67.0,60.0,62.25,64.75,67.25,65.0,65.0,65.25
2017-07-15 02:55:00,66.25,70.5,69.0,66.75,60.25,62.0,64.5,67.25,64.25,64.75,64.25
2017-07-15 03:00:00,65.33333333333333,70.0,69.66666666666667,67.0,60.75,62.75,65.0,67.0,64.25,65.75,65.0
2017-07-15 03:05:00,66.75,69.5,69.5,66.75,60.5,62.75,65.0,67.25,64.75,65.75,65.5
2017-07-15 03:10:00,66.5,69.0,68.5,65.75,60.25,62.25,64.25,66.25,64.0,65.0,64.25
2017-07-15 03:15:00,67.0,68.8,67.8,66.0,60.5,62.5,64.75,67.25,64.5,66.0,64.25
2017-07-15 03:20:00,66.4,69.5,68.5,66.0,60.25,62.75,64.75,67.25,64.25,65.5,65.5
2017-07-15 03:25:00,66.5,70.5,69.25,66.5,60.75,63.0,65.0,66.75,64.25,66.0,64.5
2017-07-15 03:30:00,66.0,69.0,68.0,65.75,60.0,62.2,64.6,66.2,64.2,65.0,64.2
2017-07-15 03:35:00,65.75,69.5,69.0,66.25,60.25,62.75,64.5,66.5,63.75,64.75,65.25
2017-07-15 03:40:00,66.75,69.5,69.25,65.5,60.25,62.0,64.25,65.75,63.75,65.0,64.5
2017-07-15 03:45:00,67.0,70.25,69.0,66.25,60.5,62.0,64.75,66.25,63.75,65.25,64.0
2017-07-15 03:50:00,67.0,69.5,69.5,66.0,60.75,62.5,64.75,66.5,64.0,65.5,64.25
2017-07-15 03:55:00,66.0,69.75,69.0,66.25,60.25,62.5,64.75,66.5,63.75,65.5,64.5
2017-07-15 04:00:00,66.25,69.5,68.75,66.0,60.25,62.25,65.0,66.25,63.75,65.5,64.75
2017-07-15 04:05:00,66.6,69.2,68.2,65.8,59.75,61.75,64.5,66.75,63.5,64.75,64.25
2017-07-15 04:10:00,66.5,69.25,68.0,65.75,60.5,62.25,64.5,66.75,64.0,65.5,65.5
2017-07-15 04:15:00,67.0,69.25,68.75,65.75,60.2,62.0,64.8,66.6,63.8,65.8,65.0
2017-07-15 04:20:00,67.0,71.0,69.75,66.75,60.5,62.25,65.0,66.75,63.75,65.5,64.75
2017-07-15 04:25:00,66.75,70.0,69.0,65.5,59.75,61.25,64.25,66.0,63.25,64.5,63.75
2017-07-15 04:30:00,66.5,69.75,69.25,66.75,60.0,62.0,64.75,67.0,64.25,65.5,64.5
2017-07-15 04:35:00,65.75,69.5,69.0,66.0,60.75,62.25,64.5,67.25,64.0,65.5,64.5
2017-07-15 04:40:00,67.0,68.75,68.0,65.75,60.0,62.5,64.75,66.25,63.5,64.75,64.25
2017-07-15 04:45:00,66.5,69.4,68.2,65.6,60.5,61.75,64.5,66.25,63.75,65.0,64.75
2017-07-15 04:50:00,66.6,69.75,68.75,65.75,60.25,62.25,64.5,67.0,63.75,64.75,65.75
2017-07-15 04:55:00,66.5,70.0,69.0,66.5,60.5,62.25,64.75,67.25,64.25,65.25,65.0
2017-07-15 05:00:00,66.25,70.0,68.75,65.75,60.6,62.4,64.8,67.4,63.8,65.2,64.6
2017-07-15 05:05:00,66.5,69.5,68.25,66.25,60.5,63.0,65.25,67.25,64.0,66.0,64.75
2017-07-15 05:10:00,67.0,70.5,69.5,66.75,60.25,62.0,64.5,66.5,64.0,65.5,64.25
2017-07-15 05:15:00,67.0,68.0,68.0,65.75,60.5,62.5,64.5,67.25,64.5,65.75,65.25
2017-07-15 05:20:00,67.25,70.25,69.0,66.25,60.75,62.25,65.25,67.25,64.75,65.75,65.5
2017-07-15 05:25:00,66.75,69.5,68.25,65.75,60.25,62.75,64.5,66.75,63.5,65.25,65.0
2017-07-15 05:30:00,65.75,69.5,68.0,65.25,60.0,62.25,64.25,66.0,63.75,65.0,64.75
2017-07-15 05:35:00,65.75,70.0,69.0,66.0,59.75,61.75,63.75,65.75,63.0,64.75,64.0
2017-07-15 05:40:00,66.0,70.0,69.2,66.6,60.0,61.5,64.5,66.25,63.25,64.75,65.0
2017-07-15 05:45:00,66.6,69.5,68.25,65.75,60.75,62.5,64.5,66.75,64.0,65.5,64.75
2017-07-15 05:50:00,65.5,69.5,68.5,66.5,60.0,62.2,64.0,66.2,63.8,65.2,64.0
2017-07-15 05:55:00,66.75,69.0,68.5,65.5,60.25,62.25,64.5,66.25,63.5,65.0,65.25
2017-07-15 06:00:00,66.25,69.75,68.5,65.75,60.75,62.5,65.0,66.75,64.0,65.5,64.75
2017-07-15 06:05:00,66.5,69.5,68.5,66.5,60.5,62.75,65.25,66.5,64.25,65.5,65.0
2017-07-15 06:10:00,66.75,69.8,68.4,67.0,61.0,63.0,64.5,67.25,64.5,65.75,64.5
2017-07-15 06:15:00,66.0,70.0,68.75,65.75,60.25,62.5,64.25,66.0,63.75,64.25,65.0
2017-07-15 06:20:00,67.0,69.25,68.25,66.0,60.2,62.4,64.4,66.4,64.0,64.8,65.6
2017-07-15 06:25:00,66.25,69.25,69.0,66.75,60.25,61.75,65.0,66.25,64.5,65.0,64.5
2017-07-15 06:30:00,66.75,69.25,68.0,65.75,60.75,62.0,65.5,66.5,63.75,65.25,65.5
2017-07-15 06:35:00,65.8,69.4,68.2,66.0,59.5,62.0,63.75,66.0,63.0,64.5,64.5
2017-07-15 06:40:00,66.25,69.0,67.75,65.5,60.2,61.8,64.4,66.4,63.2,64.8,65.0
2017-07-15 06:45:00,65.5,70.0,68.75,65.75,60.75,62.25,64.75,66.75,63.75,65.0,65.0
2017-07-15 06:50:00,67.0,70.25,69.25,66.5,60.75,61.75,64.0,66.0,63.5,65.0,64.75
2017-07-15 06:55:00,66.75,70.0,69.5,65.75,61.0,62.75,65.0,67.0,64.0,64.75,64.75
2017-07-15 07:00:00,66.4,70.0,69.0,66.6,60.5,62.0,64.5,65.75,63.75,65.0,64.75
2017-07-15 07:05:00,66.25,69.75,68.0,65.5,60.25,62.0,64.25,65.25,63.75,64.75,64.75
2017-07-15 07:10:00,66.75,70.25,68.75,66.25,60.5,61.6,64.6,66.0,64.0,64.75,65.0
2017-07-15 07:15:00,66.5,70.25,69.5,66.25,60.6,62.25,64.5,66.25,64.0,65.2,64.75
2017-07-15 07:20:00,66.75,69.5,68.5,65.75,60.0,62.5,64.5,66.25,63.75,65.5,65.25
2017-07-15 07:25:00,67.0,69.25,68.75,66.25,60.75,62.0,64.5,66.0,63.75,65.5,64.5
2017-07-15 07:30:00,66.75,68.75,69.5,66.0,60.5,62.75,64.5,67.0,64.25,65.5,65.25
2017-07-15 07:35:00,66.5,69.0,68.5,66.25,60.5,62.5,64.75,67.0,64.25,65.25,65.25
2017-07-15 07:40:00,66.5,69.8,69.2,66.6,60.75,62.0,65.5,66.5,64.25,65.75,65.5
2017-07-15 07:45:00,66.2,70.25,69.0,66.25,60.25,62.5,64.25,66.75,63.75,65.25,64.25
2017-07-15 07:50:00,66.5,69.75,69.25,66.5,60.6,62.6,65.0,66.8,63.8,65.4,64.6
2017-07-15 07:55:00,67.0,69.75,68.75,66.0,60.75,61.75,65.0,66.25,63.75,65.75,64.75
2017-07-15 08:00:00,66.5,70.25,68.5,66.75,60.25,62.5,65.5,66.75,64.5,65.75,64.75
2017-07-15 08:05:00,66.25,68.5,67.0,66.25,59.5,61.5,64.25,66.0,63.25,64.5,64.25
2017-07-15 08:10:00,65.25,70.25,68.75,67.0,58.75,60.0,62.75,64.0,62.5,63.75,61.75
2017-07-15 08:15:00,66.0,70.5,68.5,66.25,58.75,61.0,63.0,64.75,62.5,64.0,63.0
2017-07-15 08:20:00,65.75,70.0,69.0,67.0,59.75,61.5,63.25,65.25,62.5,64.25,63.25
2017-07-15 08:25:00,65.5,70.5,68.0,66.75,59.75,61.0,63.5,64.75,62.75,64.75,63.25
