,c6913,c6631,c6630,c6628,c7124,c7120,c7119,c7121,c7122,c7123,c7116
2017-07-14 23:35:00,21.488000297546385,21.298000144958497,21.855999374389647,21.613999938964845,21.744000244140626,21.62200012207031,21.82599983215332,22.460000228881835,20.079999923706055,21.938000106811522,21.436000061035156
2017-07-14 23:40:00,23.979999923706053,24.034000396728516,23.981999588012695,23.994000244140626,23.994000244140626,23.979999923706053,24.004000091552733,24.018000411987305,23.969999694824217,23.993999481201172,23.977999877929687
2017-07-14 23:45:00,23.989999771118164,24.04199981689453,24.01599998474121,24.03400001525879,24.013999938964844,23.989999771118164,24.02400016784668,24.010000228881836,24.006000137329103,24.038000106811523,24.01599998474121
2017-07-14 23:50:00,24.018000030517577,24.0,24.0,24.006000137329103,24.0,23.989999771118164,24.0,24.01400032043457,24.011999893188477,24.020000076293947,23.987999725341798
2017-07-14 23:55:00,24.018000030517577,24.0,24.0,24.0,24.0,24.026000213623046,24.018000030517577,24.057999420166016,24.049999237060547,24.038000106811523,23.989999771118164
2017-07-15 00:00:00,24.06599998474121,24.018000030517577,24.0,24.020000076293947,24.029999923706054,24.0,24.00800018310547,24.057999420166016,24.057999420166016,24.054000091552734,24.01599998474121
2017-07-15 00:05:00,24.0,24.0,24.0,24.0,24.00800018310547,24.0,24.04199981689453,24.049999237060547,24.049999237060547,24.03200035095215,24.0
2017-07-15 00:10:00,24.060000610351562,24.0,24.0,24.018000030517577,24.0,24.0,24.022000122070313,24.049999237060547,24.065999221801757,24.026000213623046,24.0
2017-07-15 00:15:00,24.02400016784668,24.029999923706054,24.0,24.020000076293947,24.013999938964844,24.013999938964844,24.018000030517577,24.060000228881837,24.065999603271486,24.018000030517577,24.018000030517577
2017-07-15 00:20:00,24.0,24.0,24.0,24.0,24.0,24.0,24.018000411987305,24.0,23.995999908447267,24.020000076293947,24.010000228881836
2017-07-15 00:25:00,24.0,24.028000259399413,24.0,24.013999938964844,24.006000137329103,24.0,24.0,24.0,23.987999725341798,24.0,24.0
2017-07-15 00:30:00,24.020000076293947,24.020000076293947,24.0,23.977999877929687,24.03199996948242,23.997999572753905,24.028000259399413,24.010000228881836,24.006000137329103,24.0,24.018000030517577
2017-07-15 00:35:00,24.0,24.0,24.0,23.98599967956543,24.0,23.989999771118164,24.0,24.0,24.0,24.00999984741211,24.0
2017-07-15 00:40:00,24.0,24.0,24.010000228881836,23.989999771118164,24.0,23.989999771118164,24.036000061035157,24.0,24.0,23.97400016784668,24.0
2017-07-15 00:45:00,24.020000076293947,24.018000030517577,24.0,24.038000106811523,24.013999938964844,24.013999938964844,24.01400032043457,24.010000228881836,24.0,24.027999877929688,24.018000030517577
2017-07-15 00:50:00,24.0,24.0,24.0,24.002000045776366,24.013999938964844,24.0,24.020000076293947,24.0,24.0,24.010000228881836,24.0
2017-07-15 00:55:00,24.0,24.029999923706054,24.0,24.142000198364258,24.09799995422363,24.03200035095215,24.05,24.0,24.059999847412108,24.0,24.0
2017-07-15 01:00:00,24.020000076293947,24.047999954223634,24.026000213623046,24.05399971008301,24.026000213623046,24.065999603271486,24.05800018310547,24.010000228881836,24.07599983215332,24.0,24.018000030517577
2017-07-15 01:05:00,24.011999893188477,24.0,24.020000076293947,24.006000137329103,24.0,24.049999237060547,24.0,24.0,24.0,24.0,24.03400001525879
2017-07-15 01:10:00,24.006000137329103,24.0,24.018000030517577,24.0,24.03199996948242,24.083999633789062,24.02400016784668,24.0,24.0,23.98599967956543,24.049999237060547
2017-07-15 01:15:00,24.020000076293947,24.0560001373291,24.011999893188477,24.036000061035157,24.03200035095215,24.067999649047852,24.013999938964844,24.010000228881836,24.0,23.989999771118164,24.07399978637695
2017-07-15 01:20:00,24.034000396728516,24.020000076293947,24.018000030517577,24.14800033569336,24.0,24.05399971008301,24.0,24.0,24.00800018310547,23.989999771118164,24.051999282836913
2017-07-15 01:25:00,24.0,24.011999893188477,24.0,24.002000045776366,24.0,24.022000122070313,24.047999954223634,24.0,24.0,24.01599998474121,24.049999237060547
2017-07-15 01:30:00,24.020000076293947,24.02400016784668,24.013999938964844,24.020000076293947,24.104000091552734,24.01599998474121,24.013999938964844,24.02400016784668,24.006000137329103,24.01599998474121,24.036000061035157
