,c6913,c6631,c6630,c6628,c7124,c7120,c7119,c7121,c7122,c7123,c7116
2017-07-14 23:35:00,123275673.6,131112140.8,112340172.8,258277376.0,125354803.2,118102425.6,117064499.2,123745075.2,115155763.2,122565427.2,119975936.0
2017-07-14 23:40:00,139893964.8,149692416.0,130407628.8,276923187.2,142682521.6,135460454.4,133495193.6,138626662.4,134115328.0,139377868.8,136870297.6
2017-07-14 23:45:00,144276684.8,156032204.8,139472896.0,285654220.8,147219251.2,141145702.4,139612160.0,143966208.0,140129075.2,144161996.8,141873152.0
2017-07-14 23:50:00,145858560.0,158489804.8,141579878.4,287773491.2,148814233.6,143310028.8,141737984.0,146232115.2,142679244.8,146001100.8,143848243.2
2017-07-14 23:55:00,146592563.2,159343411.2,142428569.6,288683622.4,149275443.2,144445440.0,142627635.2,147311820.8,143912960.0,146854707.2,144710041.6
2017-07-15 00:00:00,147133235.2,160748339.2,143851520.0,290254028.8,151285760.0,146733465.6,144992665.6,149550694.4,145064755.2,149099315.2,146989056.0
2017-07-15 00:05:00,147340492.8,160966246.4,144128409.6,290487500.8,158140006.4,153715507.2,152362188.8,156533555.2,154068582.4,156117401.6,154033356.8
2017-07-15 00:10:00,147444531.2,161144832.0,144344678.4,290685747.2,158239129.6,153876889.6,152648908.8,156748185.6,154443776.0,156272230.4,154207846.4
2017-07-15 00:15:00,147662438.4,161230848.0,144450355.2,290803712.0,158300569.6,154003865.6,152787353.6,156873523.2,154685440.0,156367257.6,154353664.0
2017-07-15 00:20:00,147755008.0,161366835.2,144563404.8,290899558.4,158368563.2,154071040.0,152932352.0,156998041.6,154881228.8,156479488.0,154530611.2
2017-07-15 00:25:00,147839385.6,162680012.8,154814873.6,300961792.0,158420992.0,154175078.4,153034752.0,157093068.8,155101593.6,156562227.2,154633830.4
2017-07-15 00:30:00,147898368.0,164605952.0,156914483.2,302896742.4,158473420.8,154305331.2,153133875.2,157173350.4,155250688.0,156645785.6,154723123.2
2017-07-15 00:35:00,147963904.0,165128601.6,156986572.8,302968012.8,158511104.0,154388889.6,153219891.2,157220864.0,155414528.0,156719513.6,154796032.0
2017-07-15 00:40:00,148014694.4,165179392.0,157040640.0,303048294.4,158550425.6,154442956.8,153298534.4,157302784.0,155534950.4,156808806.4,154941849.6
2017-07-15 00:45:00,148239974.4,165214617.6,157082419.2,303108096.0,158597939.2,154517504.0,153383731.2,157360128.0,155625062.4,156922675.2,155003289.6
2017-07-15 00:50:00,148785561.6,165277696.0,157136486.4,303145779.2,158653644.8,154632192.0,153486131.2,157390438.4,155715174.4,157005414.4,155043430.4
2017-07-15 00:55:00,148851097.6,165295718.4,157532160.0,303297331.2,159087820.8,154906624.0,153784320.0,157632921.6,156065792.0,157370777.6,155309670.4
2017-07-15 01:00:00,148911718.4,165342412.8,157794304.0,303837184.0,159213158.4,155275264.0,154148864.0,157971251.2,156459008.0,157614899.2,155704524.8
2017-07-15 01:05:00,148958412.8,165392384.0,157827891.2,303866675.2,159245107.2,155338342.4,154207846.4,158012211.2,156557312.0,157648486.4,155747123.2
2017-07-15 01:10:00,148991180.8,165435801.6,157863936.0,303919104.0,160360038.4,158689689.6,154247987.2,158047436.8,156616294.4,157692723.2,155789721.6
2017-07-15 01:15:00,157233152.0,166672793.6,157887692.8,303970713.6,164751769.6,160941670.4,154317619.2,158072832.0,156685107.2,157718937.6,155815116.8
2017-07-15 01:20:00,157264281.6,171439718.4,157918822.4,304022323.2,164776345.6,160962969.6,154374144.0,158107238.4,156726067.2,157746790.4,155838054.4
2017-07-15 01:25:00,157283942.4,171471667.2,157943398.4,304079667.2,164797644.8,160997376.0,158774067.2,158136729.6,156772761.6,157788569.6,155867545.6
2017-07-15 01:30:00,157340467.2,171542118.4,157980262.4,304103424.0,164826316.8,161029324.8,159940608.0,158168678.4,157914726.4,160006144.0,155892940.8
2017-07-15 01:35:00,157394534.4,171573248.0,158005657.6,304109158.4,164862361.6,161060454.4,159988940.8,159284428.8,162313011.2,163297689.6,155938816.0
2017-07-15 01:40:00,157428940.8,171622400.0,158031872.0,304153395.2,164887756.8,161095680.0,160043827.2,163673702.4,162355609.6,163323904.0,156018278.4
2017-07-15 01:45:00,159746457.6,171639603.2,161573273.6,310034432.0,164921344.0,161112883.2,160079052.8,163696640.0,162388377.6,163354214.4,156046950.4
2017-07-15 01:50:00,163187916.8,171661721.6,163934208.0,310087680.0,164941004.8,161133363.2,160138035.2,163714662.4,162467020.8,163389440.0,161520844.8
2017-07-15 01:55:00,163203481.6,171691212.8,163953049.6,310127001.6,164962304.0,161139097.6,160168345.6,163740057.6,162498150.4,163414016.0,161535590.4
2017-07-15 02:00:00,163261644.8,171767398.4,164021043.2,310201548.8,165037670.4,161202176.0,160256819.2,163826073.6,162577612.8,163475456.0,161588019.2
2017-07-15 02:05:00,163289497.6,171791155.2,164032512.0,310235136.0,165052416.0,161226752.0,160291225.6,163838361.6,162630041.6,163515596.8,161607680.0
2017-07-15 02:10:00,163305062.4,171821465.6,164064460.8,310276915.2,165062246.4,161268531.2,160321536.0,163860480.0,162646425.6,163540992.0,161631436.8
2017-07-15 02:15:00,163334553.6,171867340.8,164083302.4,310307225.6,165078630.4,161280000.0,160354304.0,163871948.8,162654617.6,163548364.8,161647820.8
2017-07-15 02:20:00,163352576.0,171902566.4,164103782.4,310345728.0,165104025.6,161305395.2,160382976.0,163898982.4,162682470.4,163581132.8,161676492.8
2017-07-15 02:25:00,163370598.4,171933696.0,164116889.6,310363750.4,165129420.8,161322598.4,160422297.6,163917824.0,162697216.0,163615539.2,161694515.2
2017-07-15 02:30:00,163384524.8,171960729.6,164129177.6,310380953.6,165163827.2,161339801.6,160451788.8,163935846.4,162716876.8,163643392.0,161708441.6
2017-07-15 02:35:00,163396812.8,171982848.0,164139008.0,310404710.4,165179392.0,161352908.8,160465715.2,163942400.0,162728345.6,163649126.4,161719091.2
2017-07-15 02:40:00,163421388.8,172018892.8,164161945.6,310418636.8,165195776.0,161373388.8,160492748.8,163955507.2,162748006.4,163668787.2,161742848.0
2017-07-15 02:45:00,163448422.4,172050022.4,164171776.0,310443212.8,165201510.4,161388134.4,160548454.4,163982540.8,162797977.6,163681894.4,161763328.0
2017-07-15 02:50:00,163482828.8,172075417.6,164193894.4,310479257.6,165216256.0,161399603.2,160567296.0,164001382.4,162837299.2,163708928.0,161786265.6
2017-07-15 02:55:00,163494297.6,172080332.8,164199628.8,310491545.6,165216256.0,161408614.4,160570572.8,164016947.2,162855321.6,163722035.2,161787904.0
2017-07-15 03:00:00,163579494.4,172167987.2,164267622.4,310561177.6,165288345.6,161473331.2,160640204.8,164093132.8,162909388.8,163789209.6,161852620.8
2017-07-15 03:05:00,163611443.2,172204851.2,164288921.6,310583296.0,165314560.0,161517568.0,160685260.8,164120166.4,162956083.2,163832627.2,161876377.6
2017-07-15 03:10:00,163640934.4,172270387.2,164311859.2,310617702.4,165333401.6,161529036.8,160698368.0,164139008.0,162988032.0,163854745.6,161895219.2
2017-07-15 03:15:00,163655680.0,172299059.2,164315136.0,310684057.6,165348966.4,161536409.6,160706560.0,164148019.2,163004416.0,163878502.4,161914880.0
2017-07-15 03:20:00,163672064.0,172321177.6,164323328.0,310706176.0,165357977.6,161542963.2,160717209.6,164165222.4,163023257.6,163899801.6,161927987.2
2017-07-15 03:25:00,163688448.0,172335923.2,164328243.2,310720921.6,165366988.8,161551974.4,160724582.4,164174233.6,163047014.4,163918643.2,161949286.4
2017-07-15 03:30:00,163713843.2,172364595.2,164345446.4,310747136.0,165376000.0,161562624.0,160739328.0,164191436.8,163068313.6,163936665.6,161974681.6
2017-07-15 03:35:00,163722854.4,172386713.6,164356096.0,310752870.4,165383372.8,161565900.8,160751616.0,164196352.0,163074048.0,163955507.2,161992704.0
2017-07-15 03:40:00,163747430.4,172401459.2,164380672.0,310773350.4,165398118.4,161584742.4,160773734.4,164215193.6,163088793.6,163985817.6,162032025.6
2017-07-15 03:45:00,163762995.2,172405555.2,164383129.6,310788096.0,165412864.0,161598668.8,160824524.8,164234035.2,163103539.2,164007116.8,162074624.0
2017-07-15 03:50:00,163776921.6,172424396.8,164397056.0,367567667.2,165420236.8,161613414.4,160843366.4,164249600.0,163117465.6,164031692.8,162107392.0
2017-07-15 03:55:00,163796582.4,172435046.4,164398694.4,367585689.6,165429248.0,161624883.2,160847462.4,164264345.6,163129753.6,164044800.0,162124595.2
2017-07-15 04:00:00,163832627.2,172454707.2,164419174.4,367615180.8,165447270.4,161660928.0,160885145.6,164302848.0,163146956.8,164068556.8,162140160.0
2017-07-15 04:05:00,163849011.2,172468633.6,164424089.6,367622553.6,165453824.0,161685504.0,160899891.2,164319232.0,163160883.2,164085760.0,162163097.6
