,c6913,c6631,c6630,c6628,c7124,c7120,c7119,c7121,c7122,c7123,c7116
2017-07-14 23:35:00,5598234214.4,5742056243.2,5002244096.0,5568363724.8,5764254924.8,5427453132.8,5722631372.8,5213383884.8,5623434444.8,5410797158.4,5407880806.4
2017-07-14 23:40:00,5355933696.0,5272024678.4,5306784972.8,5382227558.4,5775868723.2,5308656844.8,5724205875.2,5829108531.2,5628438937.6,5377149337.6,5652722483.2
2017-07-14 23:45:00,5692261990.4,5814747136.0,4973928448.0,5644963020.8,5779732889.6,5392062873.6,5787294105.6,5275658649.6,5464513740.8,5457168793.6,5470629068.8
2017-07-14 23:50:00,5411481190.4,5326258176.0,5350467993.6,5425619763.2,5827603660.8,5343279513.6,5672099020.8,5382874726.4,5685701836.8,5405543628.8,5731915366.4
2017-07-14 23:55:00,5728926924.8,5593819545.6,4981883699.2,5932324454.4,5615280947.2,5151111577.6,5588425932.8,5318784614.4,5515155046.4,5787417804.8,5414413107.2
2017-07-15 00:00:00,5448793292.8,5455101952.0,5257554329.6,5600294502.4,5714121523.2,5525780070.4,5545032908.8,5163436441.6,5745951539.2,5522774425.6,5538661171.2
2017-07-15 00:05:00,5641412608.0,5423008153.6,5148866969.6,5300236288.0,5681784422.4,5200363520.0,5844073676.8,5490148147.2,5537482342.4,5287300300.8,5542006784.0
2017-07-15 00:10:00,5522003558.4,5481325363.2,4962022195.2,5787923251.2,5756008857.6,5353455616.0,5691588608.0,5196468224.0,5640049459.2,5744454860.8,6093602816.0
2017-07-15 00:15:00,5625056460.8,5409634713.6,5111911219.2,5294707507.2,5673329459.2,5189536972.8,5709927219.2,5466384793.6,5600907264.0,5284495360.0,5524555366.4
2017-07-15 00:20:00,5439801753.6,5383461273.6,5114590822.4,5636360601.6,5891941990.4,5264474931.2,5853903257.6,5217988608.0,5609827532.8,5503310233.6,5642772480.0
2017-07-15 00:25:00,5610468147.2,5507429171.2,5172637696.0,5753280102.4,5710428569.6,5174960128.0,5605502156.8,5459088179.2,5545250816.0,5730331852.8,5525715353.6
2017-07-15 00:30:00,5583644262.4,5503989350.4,5000060108.8,5557624012.8,5763505356.8,5409336524.8,5714698240.0,5211261337.6,5795382886.4,5408724582.4,5405660774.4
2017-07-15 00:35:00,5360125542.4,5276950528.0,5309051699.2,5392465920.0,5779744358.4,5319603814.4,5728729497.6,5322010624.0,5635485696.0,5388515737.6,5664707379.2
2017-07-15 00:40:00,5701595955.2,5537481523.2,4968568422.4,5495738368.0,5603021619.2,5076203929.6,5559795712.0,5295295692.8,5476773068.8,5378066022.4,5356639846.4
2017-07-15 00:45:00,5469288857.6,5386926489.6,5412231577.6,5638199705.6,5716218675.2,5696199065.6,5569594163.2,5171836518.4,6031200256.0,5530604339.2,5552267264.0
2017-07-15 00:50:00,5633341849.6,5398450176.0,5130045030.4,5293566361.6,5674322329.6,5193009561.6,5803363532.8,5443049062.4,5526035660.8,5287865548.8,5530886963.2
2017-07-15 00:55:00,5449231564.8,5388751667.2,5133033472.0,5645238272.0,5893876121.6,5921508556.8,6231390617.6,5224385740.8,5611934515.2,5500848537.6,5805509836.8
2017-07-15 01:00:00,5806257766.4,5566012620.8,5036997017.6,5335086694.4,5646535065.6,5149964697.6,5629720985.6,5357542604.8,5550116044.8,5284505190.4,5453147340.8
2017-07-15 01:05:00,5407437619.2,5322727424.0,5348855808.0,5597531340.8,5844735590.4,5483966464.0,5784929894.4,5127753728.0,6019122790.4,5481872588.8,5580846694.4
2017-07-15 01:10:00,5567092326.4,5480415232.0,5133608550.4,5506283110.4,5696203161.6,5140457881.6,5584482304.0,5442945843.2,5526675456.0,5445452595.2,5488313139.2
2017-07-15 01:15:00,5513151283.2,5477239193.6,4934647808.0,5787751219.2,5754410598.4,5364253491.2,5686661939.2,5203822182.4,5717477785.6,5930364928.0,5645524992.0
2017-07-15 01:20:00,5656886476.8,5613226393.6,5241108889.6,5357004390.4,5757255680.0,5259659673.6,5685532262.4,5501234380.8,5599875072.0,5338475724.8,5600101990.4
2017-07-15 01:25:00,5625226035.2,5447655424.0,5146890240.0,5553129881.6,5829973606.4,5239960371.2,5732604313.6,5192065843.2,5395610009.6,5374546739.2,5311330713.6
