,c6913,c6631,c6630,c6628,c7124,c7120,c7119,c7121,c7122,c7123,c7116
2017-07-14 23:35:00,274.5,306.0,297.0,315.0,256.5,265.5,270.0,270.0,270.0,256.5,256.5
2017-07-14 23:40:00,283.5,298.8,302.4,313.2,274.5,279.0,265.5,297.0,283.5,270.0,270.0
2017-07-14 23:45:00,284.4,297.0,324.0,319.5,274.5,283.5,288.0,279.0,283.5,256.5,279.0
2017-07-14 23:50:00,270.0,292.5,297.0,292.5,259.2,277.2,284.4,298.8,277.2,266.4,280.8
2017-07-14 23:55:00,283.5,297.0,297.0,315.0,256.5,279.0,279.0,256.5,270.0,252.0,261.0
2017-07-15 00:00:00,283.5,306.0,324.0,315.0,270.0,288.0,288.0,288.0,297.0,270.0,279.0
2017-07-15 00:05:00,265.5,292.5,310.5,319.5,265.5,274.5,306.0,283.5,279.0,274.5,261.0
2017-07-15 00:10:00,288.0,297.0,324.0,315.0,279.0,288.0,283.5,279.0,301.5,256.5,279.0
2017-07-15 00:15:00,265.5,297.0,310.5,301.5,270.0,274.5,288.0,283.5,274.5,256.5,270.0
2017-07-15 00:20:00,256.5,288.0,302.4,284.4,283.5,270.0,274.5,283.5,274.5,274.5,274.5
2017-07-15 00:25:00,284.4,288.0,310.5,301.5,252.0,256.5,288.0,283.5,288.0,270.0,256.5
2017-07-15 00:30:00,261.0,297.0,310.5,297.0,265.5,283.5,274.5,292.5,274.5,270.0,261.0
2017-07-15 00:35:00,256.5,297.0,324.0,324.0,259.2,291.6,280.8,291.6,288.0,266.4,284.4
2017-07-15 00:40:00,270.0,297.0,324.0,319.5,252.0,256.5,283.5,288.0,252.0,265.5,265.5
2017-07-15 00:45:00,270.0,301.5,297.0,319.5,283.5,283.5,288.0,288.0,274.5,270.0,270.0
2017-07-15 00:50:00,270.0,301.5,324.0,292.5,256.5,261.0,274.5,279.0,274.5,252.0,270.0
2017-07-15 00:55:00,261.0,306.0,310.5,301.5,265.5,274.5,279.0,283.5,283.5,274.5,265.5
2017-07-15 01:00:00,270.0,297.0,310.5,310.5,256.5,261.0,265.5,283.5,288.0,261.0,252.0
2017-07-15 01:05:00,279.0,297.0,310.5,301.5,279.0,274.5,270.0,265.5,274.5,283.5,274.5
2017-07-15 01:10:00,274.5,288.0,319.5,315.0,270.0,274.5,297.0,274.5,261.0,252.0,283.5
2017-07-15 01:15:00,279.0,291.6,316.8,309.6,256.5,297.0,283.5,279.0,270.0,274.5,279.0
2017-07-15 01:20:00,262.8,310.5,310.5,301.5,265.5,274.5,292.5,270.0,279.0,265.5,265.5
2017-07-15 01:25:00,270.0,306.0,297.0,306.0,270.0,288.0,297.0,279.0,274.5,274.5,283.5
2017-07-15 01:30:00,265.5,301.5,324.0,315.0,273.6,266.4,288.0,291.6,284.4,252.0,273.6
2017-07-15 01:35:00,261.0,297.0,324.0,315.0,243.0,279.0,274.5,270.0,274.5,243.0,261.0
2017-07-15 01:40:00,270.0,297.0,324.0,288.0,283.5,274.5,265.5,265.5,274.5,265.5,261.0
2017-07-15 01:45:00,279.0,297.0,324.0,306.0,261.0,283.5,283.5,283.5,279.0,265.5,270.0
2017-07-15 01:50:00,288.0,297.0,306.0,324.0,283.5,279.0,292.5,274.5,279.0,265.5,270.0
2017-07-15 01:55:00,265.5,310.5,310.5,319.5,297.0,292.5,270.0,274.5,265.5,274.5,265.5
2017-07-15 02:00:00,279.0,315.0,310.5,301.5,243.0,279.0,288.0,270.0,252.0,256.5,270.0
2017-07-15 02:05:00,270.0,310.5,292.5,301.5,283.5,265.5,283.5,265.5,256.5,243.0,234.0
2017-07-15 02:10:00,292.5,310.5,283.5,310.5,261.0,288.0,279.0,288.0,288.0,256.5,274.5
2017-07-15 02:15:00,274.5,306.0,283.5,324.0,270.0,279.0,279.0,274.5,247.5,252.0,261.0
2017-07-15 02:20:00,283.5,288.0,306.0,297.0,279.0,288.0,288.0,283.5,274.5,252.0,283.5
2017-07-15 02:25:00,274.5,310.5,310.5,315.0,261.0,288.0,274.5,283.5,274.5,265.5,279.0
2017-07-15 02:30:00,273.6,298.8,324.0,302.4,270.0,265.5,297.0,283.5,283.5,252.0,270.0
2017-07-15 02:35:00,279.0,315.0,306.0,315.0,265.5,274.5,279.0,279.0,274.5,261.0,279.0
2017-07-15 02:40:00,270.0,306.0,292.5,306.0,252.0,274.5,301.5,261.0,274.5,265.5,270.0
2017-07-15 02:45:00,270.0,306.0,324.0,315.0,288.0,270.0,288.0,310.5,301.5,261.0,247.5
2017-07-15 02:50:00,270.0,306.0,319.5,315.0,265.5,274.5,288.0,279.0,288.0,274.5,261.0
2017-07-15 02:55:00,270.0,306.0,324.0,319.5,279.0,288.0,288.0,270.0,279.0,283.5,288.0
2017-07-15 03:00:00,270.0,306.0,324.0,312.0,265.5,288.0,288.0,283.5,306.0,261.0,270.0
2017-07-15 03:05:00,279.0,306.0,297.0,310.5,261.0,274.5,288.0,265.5,297.0,256.5,261.0
2017-07-15 03:10:00,279.0,279.0,324.0,319.5,265.5,274.5,288.0,274.5,274.5,265.5,279.0
2017-07-15 03:15:00,274.5,284.4,302.4,316.8,279.0,261.0,274.5,279.0,297.0,270.0,270.0
2017-07-15 03:20:00,284.4,301.5,310.5,297.0,265.5,274.5,283.5,265.5,297.0,292.5,279.0
2017-07-15 03:25:00,283.5,297.0,324.0,315.0,274.5,274.5,283.5,279.0,288.0,256.5,274.5
2017-07-15 03:30:00,274.5,306.0,297.0,301.5,273.6,284.4,284.4,280.8,266.4,255.6,277.2
2017-07-15 03:35:00,283.5,310.5,310.5,301.5,270.0,274.5,283.5,279.0,274.5,265.5,274.5
2017-07-15 03:40:00,274.5,315.0,310.5,324.0,288.0,270.0,274.5,292.5,261.0,261.0,265.5
2017-07-15 03:45:00,265.5,297.0,310.5,306.0,243.0,283.5,270.0,283.5,283.5,265.5,256.5
2017-07-15 03:50:00,288.0,306.0,324.0,297.0,261.0,270.0,274.5,274.5,274.5,283.5,265.5
